inic_edo,nom_edo,nombre,tipo_elec,FechaNacimiento,suplente,edo,ent
rdlpm_tabasco,ricardodelapenamarshall_tabasco,Dip. Ricardo De la Pena Marshall,Mayoria Relativa,1964-02-17,David Eduardo Leon Romero,Tabasco,Distrito:6
jsrq_tamaulipas,josesalvadorrosasquintanilla_tamaulipas,Dip. Jose Salvador Rosas Quintanilla,Mayoria Relativa,1961-01-22,Manuel Canales Bermea,Tamaulipas,Distrito:1
ojeg_tamaulipas,olgajulianaelizondoguerra_tamaulipas,Dip. Olga Juliana Elizondo Guerra,Mayoria Relativa,1965-05-21,Zoraida Lara Cruz,Tamaulipas,Distrito:2
hjvg_tamaulipas,hectorjoelvillegasgonzalez_tamaulipas,Dip. Hector Joel Villegas Gonzalez (LICENCIA),Mayoria Relativa,1979-05-09,Silvestre Resendez Munoz(en funciones),Tamaulipas,Distrito:3
alr_tamaulipas,adrianalozanorodriguez_tamaulipas,Dip. Adriana Lozano Rodriguez,Mayoria Relativa,1969-06-26,Erika Georgina Lara Vazquez,Tamaulipas,Distrito:4
mart_tamaulipas,marioalbertoramostamez_tamaulipas,Dip. Mario Alberto Ramos Tamez (LICENCIA),Mayoria Relativa,1986-04-03,Juan Alejandro Rivera Torres(en funciones),Tamaulipas,Distrito:5
vjvo_tamaulipas,vicentejavierverasteguiostos_tamaulipas,Dip. Vicente Javier Verastegui Ostos (LICENCIA),Mayoria Relativa,1963-09-03,Eloy Martinez Carrizales(en funciones),Tamaulipas,Distrito:6
egr_tamaulipas,erasmogonzalezrobledo_tamaulipas,Dip. Erasmo Gonzalez Robledo,Mayoria Relativa,1972-06-28,Juan Dionisio Cruz Guerrero,Tamaulipas,Distrito:7
opsr_tamaulipas,olgapatriciasosaruiz_tamaulipas,Dip. Olga Patricia Sosa Ruiz (LICENCIA),Mayoria Relativa,1974-09-22,Alba Silvia Garcia Paredes(en funciones),Tamaulipas,Distrito:8
ajzz_tamaulipas,armandojavierzertuchezuani_tamaulipas,Dip. Armando Javier Zertuche Zuani (LICENCIA),Mayoria Relativa,1957-11-27,Fernando Lopez Gomez,Tamaulipas,Distrito:9
jdllss_tlaxcala,josedelaluzsosasalinas_tlaxcala,Dip. Jose de la Luz Sosa Salinas,Mayoria Relativa,1966-05-25,Juan Antonio Martinez Ceron,Tlaxcala,Distrito:1
rta_tlaxcala,rubenteranaguila_tlaxcala,Dip. Ruben Teran Aguila,Mayoria Relativa,1981-08-09,Luis Antonio Herrera Perez,Tlaxcala,Distrito:2
lcc_tlaxcala,lorenacuellarcisneros_tlaxcala,Dip. Lorena Cuellar Cisneros (LICENCIA),Mayoria Relativa,1962-02-20,Claudia Perez Rodriguez,Tlaxcala,Distrito:3
rge_veracruz,ricardogarciaescalante_veracruz,Dip. Ricardo Garcia Escalante,Mayoria Relativa,1981-05-02,Alvaro Soto Martinez,Veracruz,Distrito:1
jga_veracruz,jesusguzmanaviles_veracruz,Dip. Jesus Guzman Aviles,Mayoria Relativa,1961-12-25,Armando Fernandez de la Cruz,Veracruz,Distrito:2
mbes_veracruz,mariaberthaespinozasegura_veracruz,Dip. Maria Bertha Espinoza Segura,Mayoria Relativa,1957-11-15,Santa Veronica Marquez Dominguez,Veracruz,Distrito:3
rfez_veracruz,ricardofranciscoexsomezapata_veracruz,Dip. Ricardo Francisco Exsome Zapata,Mayoria Relativa,1963-09-28,Francisco Javier Lorenzo Cabrera,Veracruz,Distrito:4
rbh_veracruz,raquelbonillaherrera_veracruz,Dip. Raquel Bonilla Herrera,Mayoria Relativa,1984-03-17,Maria Guadalupe Bello Trejo,Veracruz,Distrito:5
jhpb_veracruz,jaimehumbertoperezbernabe_veracruz,Dip. Jaime Humberto Perez Bernabe,Mayoria Relativa,1973-04-15,Ricardo Cabanas Vazquez,Veracruz,Distrito:6
rcs_veracruz,rodrigocalderonsalas_veracruz,Dip. Rodrigo Calderon Salas,Mayoria Relativa,1958-04-05,Enrique Capetillo Gonzalez,Veracruz,Distrito:7
cte_veracruz,claudiatelloespinosa_veracruz,Dip. Claudia Tello Espinosa,Mayoria Relativa,1964-10-16,--- --- ---,Veracruz,Distrito:8
cmg_veracruz,carmenmoragarcia_veracruz,Dip. Carmen Mora Garcia,Mayoria Relativa,1952-07-14,Maria Laura Garcia Gomez,Veracruz,Distrito:9
rhv_veracruz,rafaelhernandezvillalpando_veracruz,Dip. Rafael Hernandez Villalpando,Mayoria Relativa,1947-11-08,Guillermo Fernandez Sanchez,Veracruz,Distrito:10
ftcs_veracruz,florataniacruzsantos_veracruz,Dip. Flora Tania Cruz Santos,Mayoria Relativa,1978-01-27,Celica Segura Toledo,Veracruz,Distrito:11
mdgr_veracruz,marianadunyaskagarciarojas_veracruz,Dip. Mariana Dunyaska Garcia Rojas,Mayoria Relativa,1974-10-29,Ana Gabriela Pantoja Andrade,Veracruz,Distrito:12
eas_veracruz,eleuterioarrietasanchez_veracruz,Dip. Eleuterio Arrieta Sanchez,Mayoria Relativa,1955-05-02,Ramon Pino Mendez,Veracruz,Distrito:13
cmp_veracruz,carmenmedelpalma_veracruz,Dip. Carmen Medel Palma,Mayoria Relativa,1959-09-26,Mariela Hernandez Garcia,Veracruz,Distrito:14
dmcvg_veracruz,dulcemariacorinavillegasguarneros_veracruz,Dip. Dulce Maria Corina Villegas Guarneros,Mayoria Relativa,1966-12-24,Nury Yareli Aguilar Morales,Veracruz,Distrito:15
jmf_veracruz,juanmartinezflores_veracruz,Dip. Juan Martinez Flores,Mayoria Relativa,1956-04-03,Jose Ignacio Vazquez Sanchez,Veracruz,Distrito:16
vrl_veracruz,valentinreyeslopez_veracruz,Dip. Valentin Reyes Lopez,Mayoria Relativa,1952-02-13,Abel Maza Dominguez,Veracruz,Distrito:17
bal_veracruz,bonifacioaguilarlinda_veracruz,Dip. Bonifacio Aguilar Linda,Mayoria Relativa,1976-05-08,Feliciano Romero Martinez,Veracruz,Distrito:18
pta_veracruz,paolatenorioadame_veracruz,Dip. Paola Tenorio Adame,Mayoria Relativa,1966-04-20,Andrea Doria Ortiz Aguirre,Veracruz,Distrito:19
ejrf_veracruz,eulaliojuanriosfararoni_veracruz,Dip. Eulalio Juan Rios Fararoni,Mayoria Relativa,1965-04-18,Hermilo Arista Bonilla,Veracruz,Distrito:20
jcvp_yucatan,jesuscarlosvidalpeniche_yucatan,Dip. Jesus Carlos Vidal Peniche,Mayoria Relativa,1976-06-16,Sergio Enrrique Chale Cauich,Yucatan,Distrito:1
meam_yucatan,mariaesteralonzomorales_yucatan,Dip. Maria Ester Alonzo Morales,Mayoria Relativa,1959-01-15,Guadalupe Elizabeth Zapata Gonzalez,Yucatan,Distrito:2
rh_yucatan,rogerherve(deceso)aguilarsalazar(protestapendiente)_yucatan,Dip. Roger Herve (Deceso) Aguilar Salazar(protesta pendiente),Mayoria Relativa,1938-09-12,Limbert Ivan de Jesus Interian Gallegos(en funciones),Yucatan,Distrito:3
jela_yucatan,joseeliaslixaabimerhi_yucatan,Dip. Jose Elias Lixa Abimerhi,Mayoria Relativa,1987-02-28,Mario Enmanuel Aragon Castillo,Yucatan,Distrito:4
jjcp_yucatan,juanjosecanulperez_yucatan,Dip. Juan Jose Canul Perez,Mayoria Relativa,1972-01-08,Wilberth Antonio Cach Yah,Yucatan,Distrito:5
mzmt_zacatecas,mirnazabeidamaldonadotapia_zacatecas,Dip. Mirna Zabeida Maldonado Tapia,Mayoria Relativa,1969-05-13,Amalia Roman Longoria,Zacatecas,Distrito:1
lebc_zacatecas,lyndianaelizabethbugarincortes_zacatecas,Dip. Lyndiana Elizabeth Bugarin Cortes,Mayoria Relativa,1988-12-13,Ana Yajaira Felix Rivera,Zacatecas,Distrito:2
afb_zacatecas,alfredofematbanuelos_zacatecas,Dip. Alfredo Femat Banuelos,Mayoria Relativa,1961-01-12,Miguel Jaquez Salazar,Zacatecas,Distrito:3
shc_zacatecas,samuelherrerachavez_zacatecas,Dip. Samuel Herrera Chavez,Mayoria Relativa,1954-09-17,Rumaldo Ortiz Herrera,Zacatecas,Distrito:4
ptb_chihuahua,patriciaterrazasbaca_chihuahua,Dip. Patricia Terrazas Baca,Representacion proporcional,1966-09-26,Perla Paola Adame Torres,Chihuahua,Circunscripcion:1
egra_baja california,ernestoguillermoruffoappel_baja california,Dip. Ernesto Guillermo Ruffo Appel,Representacion proporcional,1952-06-25,Victor Ivan Lujano Sarabia,Baja California,Circunscripcion:1
megg_nayarit,marthaelenagarciagomez_nayarit,Dip. Martha Elena Garcia Gomez,Representacion proporcional,1945-05-03,Mayela Leonila Godinez Alarcon,Nayarit,Circunscripcion:1
jrma_baja california sur,joserigobertomaresaguilar_baja california sur,Dip. Jose Rigoberto Mares Aguilar,Representacion proporcional,1981-02-17,Armando Fidel Castro Trasvina,Baja California Sur,Circunscripcion:1
mba_sonora,madeleinebonnafouxalcaraz_sonora,Dip. Madeleine Bonnafoux Alcaraz,Representacion proporcional,1979-01-31,Brenda Lizeth Cordova Buzani,Sonora,Circunscripcion:1
jrcp_nayarit,joseramoncamberoperez_nayarit,Dip. Jose Ramon Cambero Perez,Representacion proporcional,1971-06-27,Fernando Jesus Sanchez Zatarain,Nayarit,Circunscripcion:1
lml_baja california,lizbethmatalozano_baja california,Dip. Lizbeth Mata Lozano,Representacion proporcional,1984-01-10,Monica Janette Palomarez Ching,Baja California,Circunscripcion:1
chcv_sinaloa,carloshumbertocastanosvalenzuela_sinaloa,Dip. Carlos Humberto Castanos Valenzuela,Representacion proporcional,1977-04-14,Jose De Jesus Rojas Rivera,Sinaloa,Circunscripcion:1
mlc_sonora,manuellopezcastillo_sonora,Dip. Manuel Lopez Castillo,Representacion proporcional,1948-02-12,Esteban Cabrera Meda,Sonora,Circunscripcion:1
vbjp_jalisco,veronicabeatrizjuarezpina_jalisco,Dip. Veronica Beatriz Juarez Pina,Representacion proporcional,1971-09-28,Beatriz Selene Zamora Romero,Jalisco,Circunscripcion:1
itbp_jalisco,itzcoatltonatiuhbravopadilla_jalisco,Dip. Itzcoatl Tonatiuh Bravo Padilla (LICENCIA),Representacion proporcional,1960-02-07,Enrique Israel Medina Torres,Jalisco,Circunscripcion:1
mazm_jalisco,marthaangelicazamudiomacias_jalisco,Dip. Martha Angelica Zamudio Macias,Representacion proporcional,1957-02-24,Michelle Estefania Murguia Puga,Jalisco,Circunscripcion:1
jagl_baja california,jorgealcibiadesgarcialara_baja california,Dip. Jorge Alcibiades Garcia Lara,Representacion proporcional,1969-08-05,Diego Mejia Ibanez,Baja California,Circunscripcion:1
mlga_jalisco,marialibiergonzalezanaya_jalisco,Dip. Maria Libier Gonzalez Anaya,Representacion proporcional,1954-03-27,Elvia Yolanda Martinez Cosio,Jalisco,Circunscripcion:1
jers_sonora,jorgeeugeniorussosalido_sonora,Dip. Jorge Eugenio Russo Salido (LICENCIA),Representacion proporcional,1969-12-19,Jose Eduardo Esquer Escobar(en funciones),Sonora,Circunscripcion:1
bmh_baja california,benitomedinaherrera_baja california,Dip. Benito Medina Herrera,Representacion proporcional,1950-06-05,Diego Aguilar,Baja California,Circunscripcion:1
lesm_sinaloa,lourdeserikasanchezmartinez_sinaloa,Dip. Lourdes Erika Sanchez Martinez (LICENCIA),Representacion proporcional,1980-09-29,Reynalda Berenice Alcalde Castro,Sinaloa,Circunscripcion:1
ava_sinaloa,alfredovillegasarreola_sinaloa,Dip. Alfredo Villegas Arreola,Representacion proporcional,1951-01-12,Ricardo Barroso Agramont,Sinaloa,Circunscripcion:1
imtv_sonora,irmamariateranvillalobos_sonora,Dip. Irma Maria Teran Villalobos,Representacion proporcional,1985-11-12,Jeanette Arrizon Marina,Sonora,Circunscripcion:1
igc_baja california sur,isaiasgonzalezcuevas_baja california sur,Dip. Isaias Gonzalez Cuevas,Representacion proporcional,1940-07-06,Jose David Alfaro Pagaza,Baja California Sur,Circunscripcion:1
hmlnq_jalisco,hortensiamarialuisanoronaquezada_jalisco,Dip. Hortensia Maria Luisa Norona Quezada (LICENCIA),Representacion proporcional,1976-10-19,Guadalupe Janneth Moreno Arguelles(en funciones),Jalisco,Circunscripcion:1
iahd_durango,ismaelalfredohernandezderas_durango,Dip. Ismael Alfredo Hernandez Deras,Representacion proporcional,1964-02-20,Cristopher Daniel James Barousse,Durango,Circunscripcion:1
mfs_nayarit,margaritafloressanchez_nayarit,Dip. Margarita Flores Sanchez (LICENCIA),Representacion proporcional,1961-12-10,Miriam Del Sol Merino Cuevas(en funciones),Nayarit,Circunscripcion:1
emru_sinaloa,erikamarianarosasuribe_sinaloa,Dip. Erika Mariana Rosas Uribe,Representacion proporcional,1984-01-09,Mariana Cosio Valdes,Sinaloa,Circunscripcion:1
maga_sinaloa,marcoantoniogomezalcantar_sinaloa,Dip. Marco Antonio Gomez Alcantar,Representacion proporcional,1972-04-18,Misael Sanchez Sanchez,Sinaloa,Circunscripcion:1
vrc_jalisco,veronicaramoscruz_jalisco,Dip. Veronica Ramos Cruz,Representacion proporcional,1985-05-01,Rosa Maria Cardona Alegria,Jalisco,Circunscripcion:1
macm_sonora,marcoantoniocarbajalmiranda_sonora,Dip. Marco Antonio Carbajal Miranda (LICENCIA),Representacion proporcional,1959-09-26,J Felix Vargas Aldiano(en funciones),Sonora,Circunscripcion:1
tcc_sinaloa,tatianaclouthiercarrillo_sinaloa,Dip. Tatiana Clouthier Carrillo (LICENCIA),Representacion proporcional,1964-08-12,Maria Del Carmen Almeida Navarro(en funciones),Sinaloa,Circunscripcion:1
mamg_jalisco,miguelangelmarquezgonzalez_jalisco,Dip. Miguel Angel Marquez Gonzalez,Representacion proporcional,1962-10-21,Jose Manuel Martin Gomez,Jalisco,Circunscripcion:1
cyrm_nayarit,carminayadiraregaladomardueno_nayarit,Dip. Carmina Yadira Regalado Mardueno (LICENCIA),Representacion proporcional,1967-11-06,Maria De Jesus Aguirre Barradas(en funciones),Nayarit,Circunscripcion:1
fjgdlt_jalisco,franciscojavierguzmandelatorre_jalisco,Dip. Francisco Javier Guzman De La Torre,Representacion proporcional,1944-08-29,Neri Eduardo Maciel Hernandez,Jalisco,Circunscripcion:1
mtlp_jalisco,mariateresalopezperez_jalisco,Dip. Maria Teresa Lopez Perez,Representacion proporcional,1940-12-30,Leticia Perez Rodriguez,Jalisco,Circunscripcion:1
sab_chihuahua,sebastianaguilerabrenes_chihuahua,Dip. Sebastian Aguilera Brenes,Representacion proporcional,1995-06-10,Jorge Ariff Marave Sanchez,Chihuahua,Circunscripcion:1
mcpm_nayarit,miriamcitlallyperezmackintosh_nayarit,Dip. Miriam Citlally Perez Mackintosh,Representacion proporcional,1967-11-20,Claudia Ramona Moreno Salas,Nayarit,Circunscripcion:1
avv_jalisco,albertovillavillegas_jalisco,Dip. Alberto Villa Villegas,Representacion proporcional,1972-10-25,Ismael Miranda Ornelas,Jalisco,Circunscripcion:1
lss_sinaloa,lucindasandovalsoberanes_sinaloa,Dip. Lucinda Sandoval Soberanes,Representacion proporcional,1980-02-18,Damaris Osuna Zavala,Sinaloa,Circunscripcion:1
jcldlr_chihuahua,juancarlosloeradelarosa_chihuahua,Dip. Juan Carlos Loera De La Rosa (LICENCIA),Representacion proporcional,1969-04-27,Francisco Jorge Villarreal Pasaret(en funciones),Chihuahua,Circunscripcion:1
kacl_jalisco,katiaalejandracastillolozano_jalisco,Dip. Katia Alejandra Castillo Lozano,Representacion proporcional,1982-10-20,Telma Artemisa Montano Navarro,Jalisco,Circunscripcion:1
erv_chihuahua,efrainrochavega_chihuahua,Dip. Efrain Rocha Vega,Representacion proporcional,1955-05-12,Jorge Valdez Anaya,Chihuahua,Circunscripcion:1
mprl_baja california,marthapatriciaramirezlucero_baja california,Dip. Martha Patricia Ramirez Lucero,Representacion proporcional,1952-09-03,Izhaleth Ireri Angulo Castaneda,Baja California,Circunscripcion:1
rgg_nuevo leon,raulgraciaguzman_nuevo leon,Dip. Raul Gracia Guzman,Representacion proporcional,1975-02-20,Tomas David Macias Canales,Nuevo Leon,Circunscripcion:2
mmtp_queretaro,mariamarcelatorrespeimbert_queretaro,Dip. Maria Marcela Torres Peimbert,Representacion proporcional,1961-10-07,Maria Fernanda Gatica Garza,Queretaro,Circunscripcion:2
jitr_zacatecas,joseisabeltrejoreyes_zacatecas,Dip. Jose Isabel Trejo Reyes,Representacion proporcional,1959-04-09,Gabriel Rodriguez Medina,Zacatecas,Circunscripcion:2
jmj_zacatecas,jacquelinamartinezjuarez_zacatecas,Dip. Jacquelina Martinez Juarez,Representacion proporcional,1981-05-26,Soledad Barrios Venegas,Zacatecas,Circunscripcion:2
mav_queretaro,marcosaguilarvega_queretaro,Dip. Marcos Aguilar Vega,Representacion proporcional,1972-07-05,Jorge Luis Alarcon Neve,Queretaro,Circunscripcion:2
svgc_aguascalientes,sylviavioletagarfiascedillo_aguascalientes,Dip. Sylvia Violeta Garfias Cedillo,Representacion proporcional,1975-03-29,Maria Fernanda De La Torre Delgado,Aguascalientes,Circunscripcion:2
vmpd_nuevo leon,victormanuelperezdiaz_nuevo leon,Dip. Victor Manuel Perez Diaz (LICENCIA),Representacion proporcional,1969-06-01,Eugenio Bueno Lozano(en funciones),Nuevo Leon,Circunscripcion:2
nah_tamaulipas,nohemialemanhernandez_tamaulipas,Dip. Nohemi Aleman Hernandez (LICENCIA),Representacion proporcional,1982-02-03,Priscilla Haydee Lagunas Cuellar(en funciones),Tamaulipas,Circunscripcion:2
xaz_san luis potosi,xavierazuarazuniga_san luis potosi,Dip. Xavier Azuara Zuniga,Representacion proporcional,1979-09-16,Adrian Sanchez Ramiro,San Luis Potosi,Circunscripcion:2
sggg_coahuila,silviaguadalupegarzagalvan_coahuila,Dip. Silvia Guadalupe Garza Galvan,Representacion proporcional,1962-07-05,Concepcion Balderas Y Robles,Coahuila,Circunscripcion:2
ftg_guanajuato,fernandotorresgraciano_guanajuato,Dip. Fernando Torres Graciano,Representacion proporcional,1970-08-27,Edgardo Chaire Chavero,Guanajuato,Circunscripcion:2
imgv_nuevo leon,isabelmargaritaguerravillarreal_nuevo leon,Dip. Isabel Margarita Guerra Villarreal,Representacion proporcional,1975-09-22,Cecilia Sofia Robledo Suarez,Nuevo Leon,Circunscripcion:2
jcmm_guanajuato,juancarlosmunozmarquez_guanajuato,Dip. Juan Carlos Munoz Marquez (LICENCIA),Representacion proporcional,1969-11-30,Carlos Elhier Cinta Rodriguez(en funciones),Guanajuato,Circunscripcion:2
faem_zacatecas,fridaalejandraesparzamarquez_zacatecas,Dip. Frida Alejandra Esparza Marquez,Representacion proporcional,1996-11-05,Maria Guadalupe Martinez Arias,Zacatecas,Circunscripcion:2
aom_aguascalientes,antonioortegamartinez_aguascalientes,Dip. Antonio Ortega Martinez,Representacion proporcional,1954-07-28,Jesus Josue Hernandez Medina,Aguascalientes,Circunscripcion:2
plmd_nuevo leon,pilarlozanomacdonald_nuevo leon,Dip. Pilar Lozano Mac Donald,Representacion proporcional,1974-10-10,Maximina Gutierrez Tavares,Nuevo Leon,Circunscripcion:2
mdjgg_zacatecas,ma.dejesusgarciaguardado_zacatecas,Dip. Ma. de Jesus Garcia Guardado,Representacion proporcional,1959-04-03,Ma. Guadalupe Adabache Reyes,Zacatecas,Circunscripcion:2
pptv_nuevo leon,pedropablotrevinovillarreal_nuevo leon,Dip. Pedro Pablo Trevino Villarreal,Representacion proporcional,1972-06-13,Sigfrido Macias Perez,Nuevo Leon,Circunscripcion:2
ilag_nuevo leon,ivonnelilianaalvarezgarcia_nuevo leon,Dip. Ivonne Liliana Alvarez Garcia (LICENCIA),Representacion proporcional,1978-04-25,Rosa Elia Morales Tijerina(en funciones),Nuevo Leon,Circunscripcion:2
mrmyt_tamaulipas,marianarodriguezmieryteran_tamaulipas,Dip. Mariana Rodriguez Mier Y Teran,Representacion proporcional,1976-06-01,Delia Margarita Siller Zuniga,Tamaulipas,Circunscripcion:2
rimv_coahuila,rubenignaciomoreiravaldez_coahuila,Dip. Ruben Ignacio Moreira Valdez (LICENCIA),Representacion proporcional,1963-04-18,Ramon Verduzco Gonzalez,Coahuila,Circunscripcion:2
fay_san luis potosi,frinneazuarayarzabal_san luis potosi,Dip. Frinne Azuara Yarzabal,Representacion proporcional,1956-03-03,Eugenia Guadalupe Aboytes Gonzalez,San Luis Potosi,Circunscripcion:2
cpc_zacatecas,carlospavoncampos_zacatecas,Dip. Carlos Pavon Campos,Representacion proporcional,1955-10-31,Alberto Lugo Ledesma,Zacatecas,Circunscripcion:2
mamc_queretaro,mariaalemanmunozcastillo_queretaro,Dip. Maria Aleman Munoz Castillo,Representacion proporcional,1990-04-14,Sonia Martha Lopez Villarreal,Queretaro,Circunscripcion:2
lncc_san luis potosi,leninnelsoncamposcordova_san luis potosi,Dip. Lenin Nelson Campos Cordova,Representacion proporcional,1961-08-08,Ramiro  Miguel Hernandez,San Luis Potosi,Circunscripcion:2
ngs_aguascalientes,normaguelsaldivar_aguascalientes,Dip. Norma Guel Saldivar (LICENCIA),Representacion proporcional,1981-04-24,Lily Fabiola De La Rosa Cortes(en funciones),Aguascalientes,Circunscripcion:2
caps_zacatecas,carlosalbertopuentesalas_zacatecas,Dip. Carlos Alberto Puente Salas,Representacion proporcional,1971-12-16,Enrique Fanjon Gonzalez,Zacatecas,Circunscripcion:2
bmg_guanajuato,beatrizmanriqueguevara_guanajuato,Dip. Beatriz Manrique Guevara (LICENCIA),Representacion proporcional,1967-05-20,Zulma Espinoza Mata(en funciones),Guanajuato,Circunscripcion:2
ornm_zacatecas,oscarrafaelnovellamacias_zacatecas,Dip. Oscar Rafael Novella Macias (LICENCIA),Representacion proporcional,1984-10-12,Hugo Adrian Felix Pichardo(en funciones),Zacatecas,Circunscripcion:2
aav_san luis potosi,adrianaaguilarvazquez_san luis potosi,Dip. Adriana Aguilar Vazquez (LICENCIA),Representacion proporcional,1977-07-20,Maria Del Carmen Quiroz Rodriguez(en funciones),San Luis Potosi,Circunscripcion:2
mach_guanajuato,miguelangelchicoherrera_guanajuato,Dip. Miguel Angel Chico Herrera,Representacion proporcional,1961-03-17,Jose Javier Aguirre Gallardo,Guanajuato,Circunscripcion:2
lnvh_san luis potosi,lidianallelyvargashernandez_san luis potosi,Dip. Lidia Nallely Vargas Hernandez (LICENCIA),Representacion proporcional,1992-08-03,Alejandra Ramirez Rodriguez(en funciones),San Luis Potosi,Circunscripcion:2
jirr_guanajuato,juanisraelramosruiz_guanajuato,Dip. Juan Israel Ramos Ruiz,Representacion proporcional,1973-04-29,Jaime Fernando Guerrero Gonzalez,Guanajuato,Circunscripcion:2
dedbv_coahuila,diegoeduardodelbosquevillarreal_coahuila,Dip. Diego Eduardo Del Bosque Villarreal,Representacion proporcional,1990-02-21,Raul Steel Ramirez Garza,Coahuila,Circunscripcion:2
mcy_san luis potosi,martinacazarezyanez_san luis potosi,Dip. Martina Cazarez Yanez,Representacion proporcional,1970-03-07,Rosario Guadalupe Saenz Alvizo,San Luis Potosi,Circunscripcion:2
mlvs_san luis potosi,marialuisavelozsilva_san luis potosi,Dip. Maria Luisa Veloz Silva,Representacion proporcional,1956-08-26,Adela Celeste Arthur Vivanco,San Luis Potosi,Circunscripcion:2
essd_nuevo leon,edelmirosantiagosantosdiaz_nuevo leon,Dip. Edelmiro Santiago Santos Diaz,Representacion proporcional,1960-07-02,Jose Antonio Leal Doria,Nuevo Leon,Circunscripcion:2
msg_coahuila,miroslavasanchezgalvan_coahuila,Dip. Miroslava Sanchez Galvan,Representacion proporcional,1957-08-10,Edna Laura Huerta Ruiz,Coahuila,Circunscripcion:2
