inic_edo,nom_edo,Nombre,tipo_elec,FechaNacimiento,edo,ent,Partido
alr_guerrero,abelinalopezrodriguez_guerrero,Abelina Lopez Rodriguez,Mayoria Relativa,23/09/1965,Guerrero,Distrito:4,
aap_jalisco,abrilalcalapadilla_jalisco,Abril Alcala Padilla,Mayoria Relativa,28/04/1979,Jalisco,Distrito:8,
ago_jalisco,absalongarciaochoa_jalisco,Absalon Garcia Ochoa,Mayoria Relativa,23/09/1971,Jalisco,Distrito:15,
apb_ciudad de mexico,adelapinabernal_ciudad de mexico,Adela Piña Bernal,Representacion proporcional,28/12/1964,Ciudad de Mexico,Circunscripcion:4,
atr_michoacan,adolfotorresramirez_michoacan,Adolfo Torres Ramirez,Representacion proporcional,18/11/1980,Michoacan,Circunscripcion:5,
aav_san luis potosi,adrianaaguilarvazquez_san luis potosi,Adriana Aguilar Vazquez,Representacion proporcional,20/07/1977,San Luis Potosi,Circunscripcion:2,
adf_tlaxcala,adrianadavilafernandez_tlaxcala,Adriana Davila Fernandez,Representacion proporcional,30/12/1970,Tlaxcala,Circunscripcion:4,
agmo_jalisco,adrianagabrielamedinaortiz_jalisco,Adriana Gabriela Medina Ortiz,Mayoria Relativa,25/06/1979,Jalisco,Distrito:12,
alr_tamaulipas,adrianalozanorodriguez_tamaulipas,Adriana Lozano Rodriguez,Mayoria Relativa,26/06/1969,Tamaulipas,Distrito:4,
amgedlmg_ciudad de mexico,adrianamariaguadalupeespinosadelosmonterosgarcia_ciudad de mexico,Adriana Maria Guadalupe Espinosa de los Monteros,Mayoria Relativa,11/12/1972,Ciudad de Mexico,Distrito:9,
aptz_quintana roo,adrianapaulinateissierzavala_quintana roo,Adriana Paulina Teissier Zavala,Mayoria Relativa,20/07/1967,Quintana Roo,Distrito:1,
agr_michoacan,agustingarciarubio_michoacan,Agustin Garcia Rubio,Representacion proporcional,05/06/1973,Michoacan,Circunscripcion:5,
arhg_puebla,agustinreynaldohuertagonzalez_puebla,Agustin Reynaldo Huerta Gonzalez,Representacion proporcional,07/05/1962,Puebla,Circunscripcion:4,
ajfs_chihuahua,alanjesusfalomirsaenz_chihuahua,Alan Jesus Falomir Saenz,Mayoria Relativa,23/02/1981,Chihuahua,Distrito:8,
aeg_jalisco,albertoesquergutierrez_jalisco,Alberto Esquer Gutierrez,Mayoria Relativa,07/11/1978,Jalisco,Distrito:19,
avv_jalisco,albertovillavillegas_jalisco,Alberto Villa Villegas,Representacion proporcional,25/10/1972,Jalisco,Circunscripcion:1,
aar_ciudad de mexico,aleidaalavezruiz_ciudad de mexico,Aleida Alavez Ruiz,Mayoria Relativa,10/01/1974,Ciudad de Mexico,Distrito:19,
apb_morelos,alejandrapanibarragan_morelos,Alejandra Pani Barragan,Mayoria Relativa,17/07/1964,Morelos,Distrito:2,
abc_puebla,alejandrobarrosochavez_puebla,Alejandro Barroso Chavez,Mayoria Relativa,04/01/1981,Puebla,Distrito:15,
ach_puebla,alejandrocarvajalhidalgo_puebla,Alejandro Carvajal Hidalgo,Mayoria Relativa,02/08/1980,Puebla,Distrito:6,
amt_morelos,alejandromojicatoledo_morelos,Alejandro Mojica Toledo,Mayoria Relativa,12/01/1955,Morelos,Distrito:1,
apc_oaxaca,alejandroponcecobos_oaxaca,Alejandro Ponce Cobos,Representacion proporcional,17/04/1972,Oaxaca,Circunscripcion:3,
avv_mexico,alejandroviedmavelazquez_mexico,Alejandro Viedma Velazquez,Representacion proporcional,11/11/1991,Mexico,Circunscripcion:5,
arc_ciudad de mexico,alfonsoramirezcuellar_ciudad de mexico,Alfonso Ramirez Cuellar,Mayoria Relativa,14/06/1959,Ciudad de Mexico,Distrito:14,
afb_zacatecas,alfredofematbanuelos_zacatecas,Alfredo Femat Bañuelos,Mayoria Relativa,12/01/1961,Zacatecas,Distrito:3,
apd_baja california sur,alfredoporrasdominguez_baja california sur,Alfredo Porras Dominguez,Mayoria Relativa,21/02/1957,Baja California Sur,Distrito:2,
avv_chiapas,alfredovazquezvazquez_chiapas,Alfredo Vazquez Vazquez,Mayoria Relativa,27/01/1981,Chiapas,Distrito:3,
ava_sinaloa,alfredovillegasarreola_sinaloa,Alfredo Villegas Arreola,Representacion proporcional,12/01/1951,Sinaloa,Circunscripcion:1,
adnr_mexico,almadelianavarreterivera_mexico,Alma Delia Navarrete Rivera,Mayoria Relativa,29/07/1972,Mexico,Distrito:10,
amvr_durango,almamarinavitelarodriguez_durango,Alma Marina Vitela Rodriguez,Mayoria Relativa,26/12/1965,Durango,Distrito:2,
agge_sonora,anagabrielaguevaraespinoza_sonora,Ana Gabriela Guevara Espinoza,Mayoria Relativa,04/03/1977,Sonora,Distrito:2,
akrp_ciudad de mexico,anakarinarojopimentel_ciudad de mexico,Ana Karina Rojo Pimentel,Mayoria Relativa,28/11/1976,Ciudad de Mexico,Distrito:20,
algq_michoacan,analiliaguillenquiroz_michoacan,Ana Lilia Guillen Quiroz,Mayoria Relativa,05/02/1955,Michoacan,Distrito:8,
alha_mexico,analiliaherreraanzaldo_mexico,Ana Lilia Herrera Anzaldo,Representacion proporcional,29/08/1971,Mexico,Circunscripcion:5,
alrm_ciudad de mexico,analuciariojasmartinez_ciudad de mexico,Ana Lucia Riojas Martinez,Representacion proporcional,25/02/1988,Ciudad de Mexico,Circunscripcion:4,
amrr_ciudad de mexico,anamariarodriguezruiz_ciudad de mexico,Ana Maria Rodriguez Ruiz,Mayoria Relativa,23/07/1962,Ciudad de Mexico,Distrito:18,
aplb_queretaro,anapaolalopezbirlain_queretaro,Ana Paola Lopez Birlain,Mayoria Relativa,21/09/1981,Queretaro,Distrito:5,
appdlp_quintana roo,anapatriciaperaltadelapena_quintana roo,Ana Patricia Peralta De La Pena,Representacion proporcional,24/06/1990,Quintana Roo,Circunscripcion:3,
apgg_jalisco,anapriscilagonzalezgarcia_jalisco,Ana Priscila Gonzalez Garcia,Mayoria Relativa,13/05/1984,Jalisco,Distrito:20,
argg_baja california sur,anaruthgarciagrande_baja california sur,Ana Ruth Garcia Grande,Mayoria Relativa,30/05/1971,Baja California Sur,Distrito:1,
aiv_veracruz,aniluingramvallines_veracruz,Anilu Ingram Vallines,Representacion proporcional,26/08/1980,Veracruz,Circunscripcion:3,
asc_michoacan,anitasanchezcastro_michoacan,Anita Sanchez Castro,Mayoria Relativa,07/01/1968,Michoacan,Distrito:6,
asgc_nuevo leon,anniasarahigomezcardenas_nuevo leon,Annia Sarahi Gomez Cardenas,Mayoria Relativa,06/07/1983,Nuevo Leon,Distrito:6,
andj_oaxaca,antonianatividaddiazjimenez_oaxaca,Antonia Natividad Diaz Jimenez,Representacion proporcional,13/06/1982,Oaxaca,Circunscripcion:3,
aom_aguascalientes,antonioortegamartinez_aguascalientes,Antonio Ortega Martinez,Representacion proporcional,28/07/1954,Aguascalientes,Circunscripcion:2,
aom_guerrero,araceliocampomanzanares_guerrero,Araceli Ocampo Manzanares,Mayoria Relativa,15/10/1972,Guerrero,Distrito:2,
arv_guanajuato,arielrodriguezvazquez_guanajuato,Ariel Rodriguez Vazquez,Mayoria Relativa,01/11/1972,Guanajuato,Distrito:1,
acc_oaxaca,armandocontrerascastillo_oaxaca,Armando Contreras Castillo,Representacion proporcional,13/04/1966,Oaxaca,Circunscripcion:3,
age_ciudad de mexico,armandogonzalezescoto_ciudad de mexico,Armando Gonzalez Escoto,Mayoria Relativa,27/08/1967,Ciudad de Mexico,Distrito:2,
ajzz_tamaulipas,armandojavierzertuchezuani_tamaulipas,Armando Javier Zertuche Zuani,Mayoria Relativa,27/11/1957,Tamaulipas,Distrito:9,
arl_baja california,armandoreyesledesma_baja california,Armando Reyes Ledesma,Mayoria Relativa,10/04/1972,Baja California,Distrito:3,
atc_michoacan,armandotejedacid_michoacan,Armando Tejeda Cid,Mayoria Relativa,21/09/1984,Michoacan,Distrito:4,
aeyv_ciudad de mexico,arturoescobaryvega_ciudad de mexico,Arturo Escobar y Vega,Representacion proporcional,23/04/1970,Ciudad de Mexico,Circunscripcion:4,
arht_mexico,arturorobertohernandeztapia_mexico,Arturo Roberto Hernandez Tapia,Mayoria Relativa,05/05/1961,Mexico,Distrito:35,
asc_oaxaca,azaelsantiagochepi_oaxaca,Azael Santiago Chepi,Mayoria Relativa,15/12/1977,Oaxaca,Distrito:4,
bdpl_oaxaca,beatrizdomingaperezlopez_oaxaca,Beatriz Dominga Perez Lopez,Mayoria Relativa,24/08/1975,Oaxaca,Distrito:6,
bmg_guanajuato,beatrizmanriqueguevara_guanajuato,Beatriz Manrique Guevara,Representacion proporcional,20/05/1967,Guanajuato,Circunscripcion:2,
brm_ciudad de mexico,beatrizrojasmartinez_ciudad de mexico,Beatriz Rojas Martinez,Mayoria Relativa,21/12/1966,Ciudad de Mexico,Distrito:7,
bsrg_queretaro,beatrizsilviaroblesgutierrez_queretaro,Beatriz Silvia Robles Gutierrez,Mayoria Relativa,24/03/1965,Queretaro,Distrito:3,
bmh_baja california,benitomedinaherrera_baja california,Benito Medina Herrera,Representacion proporcional,05/06/1950,Baja California,Circunscripcion:1,
brm_oaxaca,benjaminroblesmontoya_oaxaca,Benjamin Robles Montoya,Mayoria Relativa,08/11/1959,Oaxaca,Distrito:8,
bshc_puebla,benjaminsaulhuertacorona_puebla,Benjamin Saul Huerta Corona,Mayoria Relativa,31/03/1958,Puebla,Distrito:11,
bal_veracruz,bonifacioaguilarlinda_veracruz,Bonifacio Aguilar Linda,Mayoria Relativa,08/05/1976,Veracruz,Distrito:18,
baap_mexico,brasilalbertoacostapena_mexico,Brasil Alberto Acosta Peña,Representacion proporcional,21/06/1970,Mexico,Circunscripcion:5,
bel_morelos,brendaespinozalopez_morelos,Brenda Espinosa Lopez,Representacion proporcional,19/06/1988,Morelos,Circunscripcion:4,
camv_chiapas,carlosalbertomoralesvazquez_chiapas,Carlos Alberto Morales Vazquez,Representacion proporcional,22/08/1972,Chiapas,Circunscripcion:3,
caps_zacatecas,carlosalbertopuentesalas_zacatecas,Carlos Alberto Puente Salas,Representacion proporcional,16/12/1971,Zacatecas,Circunscripcion:2,
cavg_veracruz,carlosalbertovalenzuelagonzalez_veracruz,Carlos Alberto Valenzuela Gonzalez,Representacion proporcional,18/04/1983,Veracruz,Circunscripcion:3,
ccm_tlaxcala,carloscarreonmejia_tlaxcala,Carlos Carreon Mejia,Representacion proporcional,27/05/1973,Tlaxcala,Circunscripcion:4,
cema_campeche,carlosenriquemartinezake_campeche,Carlos Enrique Martinez Ake,Mayoria Relativa,25/04/1977,Campeche,Distrito:1,
chcv_sinaloa,carloshumbertocastanosvalenzuela_sinaloa,Carlos Humberto Castaños Valenzuela,Representacion proporcional,14/04/1977,Sinaloa,Circunscripcion:1,
cjlc_sonora,carlosjavierlamarquecano_sonora,Carlos Javier Lamarque Cano,Mayoria Relativa,01/08/1953,Sonora,Distrito:6,
cpc_zacatecas,carlospavoncampos_zacatecas,Carlos Pavon Campos,Representacion proporcional,31/10/1955,Zacatecas,Circunscripcion:2,
csb_guerrero,carlossanchezbarrios_guerrero,Carlos Sanchez Barrios,Mayoria Relativa,17/08/1957,Guerrero,Distrito:7,
ctp_michoacan,carlostorrespina_michoacan,Carlos Torres Piña,Representacion proporcional,01/03/1979,Michoacan,Circunscripcion:5,
cjpg_jalisco,carmenjuliaprudenciogonzalez_jalisco,Carmen Julia Prudencio Gonzalez,Mayoria Relativa,30/06/1977,Jalisco,Distrito:9,
cmp_veracruz,carmenmedelpalma_veracruz,Carmen Medel Palma,Mayoria Relativa,26/09/1959,Veracruz,Distrito:14,
cmg_veracruz,carmenmoragarcia_veracruz,Carmen Mora Garcia,Mayoria Relativa,14/07/1952,Veracruz,Distrito:9,
cppo_quintana roo,carmenpatriciapalmaolvera_quintana roo,Carmen Patricia Palma Olvera,Mayoria Relativa,13/01/1958,Quintana Roo,Distrito:2,
cyrm_nayarit,carminayadiraregaladomardueno_nayarit,Carmina Yadira Regalado Mardueño,Representacion proporcional,06/11/1967,Nayarit,Circunscripcion:1,
caa_oaxaca,carolantonioaltamirano_oaxaca,Carol Antonio Altamirano,Mayoria Relativa,13/12/1963,Oaxaca,Distrito:5,
cga_mexico,carolinagarciaaguilar_mexico,Carolina Garcia Aguilar,Mayoria Relativa,22/09/1976,Mexico,Distrito:6,
czv_sinaloa,casimirozamoravaldez_sinaloa,Casimiro Zamora Valdez,Mayoria Relativa,15/11/1958,Sinaloa,Distrito:4,
capl_yucatan,ceciliaanunciacionpatronlaviada_yucatan,Cecilia Anunciacion Patron Laviada,Representacion proporcional,25/03/1971,Yucatan,Circunscripcion:3,
cahp_mexico,cesaragustinhernandezperez_mexico,Cesar Agustin Hernandez Perez,Mayoria Relativa,01/03/1980,Mexico,Distrito:30,
ccp_hidalgo,ciprianocharrezpedraza_hidalgo,Cipriano Charrez Pedraza,Mayoria Relativa,16/09/1970,Hidalgo,Distrito:2,
csr_chiapas,cirosalesruiz_chiapas,Ciro Sales Ruiz,Representacion proporcional,01/01/1974,Chiapas,Circunscripcion:3,
cadv_mexico,claudiaangelicadominguezvazquez_mexico,Claudia Angelica Dominguez Vazquez,Mayoria Relativa,13/09/1977,Mexico,Distrito:14,
cbr_puebla,claudiabaezruiz_puebla,Claudia Baez Ruiz,Mayoria Relativa,20/10/1972,Puebla,Distrito:3,
celm_chihuahua,claudiaelenalastramunoz_chihuahua,Claudia Elena Lastra Muñoz,Mayoria Relativa,13/01/1971,Chihuahua,Distrito:3,
clr_ciudad de mexico,claudialopezrayon_ciudad de mexico,Claudia Lopez Rayon,Mayoria Relativa,22/04/1973,Ciudad de Mexico,Distrito:5,
cpb_ciudad de mexico,claudiapastorbadilla_ciudad de mexico,Claudia Pastor Badilla,Representacion proporcional,01/12/1970,Ciudad de Mexico,Circunscripcion:4,
crm_mexico,claudiareyesmontiel_mexico,Claudia Reyes Montiel,Mayoria Relativa,07/02/1974,Mexico,Distrito:18,
cte_veracruz,claudiatelloespinosa_veracruz,Claudia Tello Espinosa,Mayoria Relativa,16/10/1964,Veracruz,Distrito:8,
cvycyc_colima,claudiavaleriayanezcentenoycabrera_colima,Claudia Valeria Yañez Centeno y Cabrera,Mayoria Relativa,02/05/1959,Colima,Distrito:1,
cmdg_chiapas,clementinamartadekkergomez_chiapas,Clementina Marta Dekker Gomez,Mayoria Relativa,10/04/1973,Chiapas,Distrito:5,
cjrs_mexico,cruzjuvenalroasanchez_mexico,Cruz Juvenal Roa Sanchez,Mayoria Relativa,10/05/1968,Mexico,Distrito:36,
cfbm_san luis potosi,cuauhtlifernandobadillomoreno_san luis potosi,Cuauhtli Fernando Badillo Moreno,Representacion proporcional,11/05/1990,San Luis Potosi,Circunscripcion:2,
cilc_ciudad de mexico,cynthiailianalopezcastro_ciudad de mexico,Cynthia Iliana Lopez Castro,Representacion proporcional,18/02/1987,Ciudad de Mexico,Circunscripcion:4,
dgg_oaxaca,danielgutierrezgutierrez_oaxaca,Daniel Gutierrez Gutierrez,Mayoria Relativa,15/02/1976,Oaxaca,Distrito:10,
dbr_puebla,davidbautistarivera_puebla,David Bautista Rivera,Representacion proporcional,27/03/1981,Puebla,Circunscripcion:4,
don_mexico,davidorihuelanava_mexico,David Orihuela Nava,Mayoria Relativa,31/01/1985,Mexico,Distrito:23,
d_mexico,delfino(deceso)lopezaparicio_mexico,Delfino,Mayoria Relativa,09/02/1960,Mexico,Distrito:25,
dedbv_coahuila,diegoeduardodelbosquevillarreal_coahuila,Diego Eduardo Del Bosque Villarreal,Representacion proporcional,21/02/1990,Coahuila,Circunscripcion:2,
dvg_mexico,dioniciavazquezgarcia_mexico,Dionicia Vazquez Garcia,Mayoria Relativa,29/03/1948,Mexico,Distrito:2,
dpl_ciudad de mexico,dolorespadiernaluna_ciudad de mexico,Dolores Padierna Luna,Mayoria Relativa,08/05/1958,Ciudad de Mexico,Distrito:12,
dgc_veracruz,dorhenygarciacayetano_veracruz,Dorheny Garcia Cayetano,Representacion proporcional,25/07/1990,Veracruz,Circunscripcion:3,
dagm_oaxaca,dulcealejandragarciamorlan_oaxaca,Dulce Alejandra Garcia Morlan,Representacion proporcional,05/12/1978,Oaxaca,Circunscripcion:3,
dmcvg_veracruz,dulcemariacorinavillegasguarneros_veracruz,Dulce Maria Corina Villegas Guarneros,Mayoria Relativa,24/12/1966,Veracruz,Distrito:15,
dmmdlld_veracruz,dulcemariamendezdelaluzdauzon_veracruz,Dulce Maria Mendez De La Luz Dauzon,Representacion proporcional,06/10/1985,Veracruz,Circunscripcion:3,
dmsr_yucatan,dulcemariasauririancho_yucatan,Dulce Maria Sauri Riancho,Representacion proporcional,14/08/1951,Yucatan,Circunscripcion:3,
ejrb_guanajuato,ectorjaimeramirezbarba_guanajuato,Ector Jaime Ramirez Barba,Mayoria Relativa,01/12/1956,Guanajuato,Distrito:5,
essd_nuevo leon,edelmirosantiagosantosdiaz_nuevo leon,Edelmiro Santiago Santos Diaz,Representacion proporcional,02/07/1960,Nuevo Leon,Circunscripcion:2,
egv_puebla,edgarguzmanvaldez_puebla,Edgar Guzman Valdez,Mayoria Relativa,19/04/1992,Puebla,Distrito:7,
era_tabasco,ediltrudisrodriguezarellano_tabasco,Ediltrudis Rodriguez Arellano,Representacion proporcional,23/06/1954,Tabasco,Circunscripcion:3,
egr_veracruz,edithgarciarosales_veracruz,Edith Garcia Rosales,Representacion proporcional,17/10/1992,Veracruz,Circunscripcion:3,
emmt_mexico,edithmarisolmercadotorres_mexico,Edith Marisol Mercado Torres,Representacion proporcional,15/09/1986,Mexico,Circunscripcion:5,
err_jalisco,eduardoronramos_jalisco,Eduardo Ron Ramos,Mayoria Relativa,24/02/1975,Jalisco,Distrito:1,
ezs_mexico,eduardozarzosasanchez_mexico,Eduardo Zarzosa Sanchez,Mayoria Relativa,16/12/1973,Mexico,Distrito:9,
erv_chihuahua,efrainrochavega_chihuahua,Efrain Rocha Vega,Representacion proporcional,12/05/1955,Chihuahua,Circunscripcion:1,
eltd_aguascalientes,elbalorenatorresdiaz_aguascalientes,Elba Lorena Torres Diaz,Mayoria Relativa,15/03/1977,Aguascalientes,Distrito:2,
eas_veracruz,eleuterioarrietasanchez_veracruz,Eleuterio Arrieta Sanchez,Mayoria Relativa,02/05/1955,Veracruz,Distrito:13,
ecma_chiapas,emeteriaclaudiamartinezaguilar_chiapas,Emeteria Claudia Martinez Aguilar,Representacion proporcional,03/03/1985,Chiapas,Circunscripcion:3,
emt_mexico,emiliomanzanillatellez_mexico,Emilio Manzanilla Tellez,Mayoria Relativa,10/04/1971,Mexico,Distrito:16,
erc_guanajuato,emmanuelreyescarmona_guanajuato,Emmanuel Reyes Carmona,Mayoria Relativa,29/06/1987,Guanajuato,Distrito:13,
eor_michoacan,enriqueochoareza_michoacan,Enrique Ochoa Reza,Representacion proporcional,01/09/1972,Michoacan,Circunscripcion:5,
erg_chihuahua,eracliorodriguezgomez_chihuahua,Eraclio Rodriguez Gomez,Mayoria Relativa,04/01/1961,Chihuahua,Distrito:7,
egr_tamaulipas,erasmogonzalezrobledo_tamaulipas,Erasmo Gonzalez Robledo,Mayoria Relativa,28/06/1972,Tamaulipas,Distrito:7,
eime_baja california,erikisaacmoraleselvira_baja california,Erik Isaac Morales Elvira,Mayoria Relativa,01/09/1976,Baja California,Distrito:7,
emru_sinaloa,erikamarianarosasuribe_sinaloa,Erika Mariana Rosas Uribe,Representacion proporcional,09/01/1984,Sinaloa,Circunscripcion:1,
evdci_ciudad de mexico,erikavanessadelcastilloibarra_ciudad de mexico,Erika Vanessa Del Castillo Ibarra,Mayoria Relativa,10/06/1978,Ciudad de Mexico,Distrito:1,
earl_nuevo leon,ernestoalfonsorobledoleal_nuevo leon,Ernesto Alfonso Robledo Leal,Mayoria Relativa,06/06/1976,Nuevo Leon,Distrito:11,
egra_baja california,ernestoguillermoruffoappel_baja california,Ernesto Guillermo Ruffo Appel,Representacion proporcional,25/06/1952,Baja California,Circunscripcion:1,
ejna_mexico,ernestojaviernemeralvarez_mexico,Ernesto Javier Nemer Alvarez,Representacion proporcional,17/07/1961,Mexico,Circunscripcion:5,
evc_nuevo leon,ernestovargascontreras_nuevo leon,Ernesto Vargas Contreras,Mayoria Relativa,06/03/1977,Nuevo Leon,Distrito:8,
edlamm_mexico,esmeraldadelosangelesmorenomedina_mexico,Esmeralda de los Angeles Moreno Medina,Mayoria Relativa,19/12/1986,Mexico,Distrito:26,
ebb_michoacan,estebanbarajasbarajas_michoacan,Esteban Barajas Barajas,Mayoria Relativa,20/01/1959,Michoacan,Distrito:2,
ena_tabasco,estelanunezalvarez_tabasco,Estela Nuñez Alvarez,Mayoria Relativa,16/08/1956,Tabasco,Distrito:1,
ejrf_veracruz,eulaliojuanriosfararoni_veracruz,Eulalio Juan Rios Fararoni,Mayoria Relativa,18/04/1965,Veracruz,Distrito:20,
elpr_coahuila,evaristoleninperezrivera_coahuila,Evaristo Lenin Perez Rivera,Mayoria Relativa,28/10/1966,Coahuila,Distrito:1,
frglh_jalisco,fabiolaraquelguadalupeloyahernandez_jalisco,Fabiola Raquel Guadalupe Loya Hernandez,Mayoria Relativa,05/11/1974,Jalisco,Distrito:6,
ffa_michoacan,felicianofloresanguiano_michoacan,Feliciano Flores Anguiano,Mayoria Relativa,28/05/1971,Michoacan,Distrito:1,
ffmo_queretaro,felipefernandomaciasolvera_queretaro,Felipe Fernando Macias Olvera,Mayoria Relativa,04/04/1986,Queretaro,Distrito:4,
fradll_mexico,feliperafaelarvizudelaluz_mexico,Felipe Rafael Arvizu De la Luz,Mayoria Relativa,09/09/1974,Mexico,Distrito:12,
fddlfh_coahuila,fernandodonatodelasfuenteshernandez_coahuila,Fernando Donato De las Fuentes Hernandez,Mayoria Relativa,07/08/1960,Coahuila,Distrito:7,
fgf_ciudad de mexico,fernandogalindofavela_ciudad de mexico,Fernando Galindo Favela,Representacion proporcional,06/05/1978,Ciudad de Mexico,Circunscripcion:4,
flmp_puebla,fernandoluismanzanillaprieto_puebla,Fernando Luis Manzanilla Prieto,Mayoria Relativa,10/05/1968,Puebla,Distrito:12,
ftg_guanajuato,fernandotorresgraciano_guanajuato,Fernando Torres Graciano,Representacion proporcional,27/08/1970,Guanajuato,Circunscripcion:2,
fimm_ciudad de mexico,florivonemoralesmiranda_ciudad de mexico,Flor Ivone Morales Miranda,Mayoria Relativa,05/10/1968,Ciudad de Mexico,Distrito:21,
ftcs_veracruz,florataniacruzsantos_veracruz,Flora Tania Cruz Santos,Mayoria Relativa,27/01/1978,Veracruz,Distrito:11,
frc_hidalgo,fortunatoriveracastillo_hidalgo,Fortunato Rivera Castillo,Mayoria Relativa,17/11/1955,Hidalgo,Distrito:1,
feg_nuevo leon,franciscoelizondogarrido_nuevo leon,Francisco Elizondo Garrido,Representacion proporcional,17/01/1982,Nuevo Leon,Circunscripcion:2,
ffp_mexico,franciscofavelapenunuri_mexico,Francisco Favela Peñuñuri,Mayoria Relativa,15/04/1955,Mexico,Distrito:5,
fjba_coahuila,franciscojavierborregoadame_coahuila,Francisco Javier Borrego Adame,Mayoria Relativa,27/12/1954,Coahuila,Distrito:2,
fjgdlt_jalisco,franciscojavierguzmandelatorre_jalisco,Francisco Javier Guzman De la Torre,Representacion proporcional,29/08/1944,Jalisco,Circunscripcion:1,
fjhe_michoacan,franciscojavierhuacusesquivel_michoacan,Francisco Javier Huacus Esquivel,Mayoria Relativa,26/08/1986,Michoacan,Distrito:12,
fjln_aguascalientes,franciscojavierluevanonunez_aguascalientes,Francisco Javier Luevano Nuñez,Mayoria Relativa,01/07/1979,Aguascalientes,Distrito:1,
fjrn_mexico,franciscojavierramireznavarrete_mexico,Francisco Javier Ramirez Navarrete,Representacion proporcional,03/01/1988,Mexico,Circunscripcion:5,
fjsc_ciudad de mexico,franciscojaviersaldivarcamacho_ciudad de mexico,Francisco Javier Saldivar Camacho,Mayoria Relativa,12/03/1967,Ciudad de Mexico,Distrito:17,
faem_zacatecas,fridaalejandraesparzamarquez_zacatecas,Frida Alejandra Esparza Marquez,Representacion proporcional,05/11/1996,Zacatecas,Circunscripcion:2,
fay_san luis potosi,frinneazuarayarzabal_san luis potosi,Frinne Azuara Yarzabal,Representacion proporcional,03/03/1956,San Luis Potosi,Circunscripcion:2,
gcb_ciudad de mexico,gabrielacuevasbarron_ciudad de mexico,Gabriela Cuevas Barron,Representacion proporcional,03/04/1979,Ciudad de Mexico,Circunscripcion:4,
gihv_jalisco,geraldinaisabelherreravega_jalisco,Geraldina Isabel Herrera Vega,Mayoria Relativa,24/04/1963,Jalisco,Distrito:10,
gfn_ciudad de mexico,gerardofernandeznorona_ciudad de mexico,Gerardo Fernandez Noroña,Mayoria Relativa,19/03/1960,Ciudad de Mexico,Distrito:4,
grl_hidalgo,gloriaromeroleon_hidalgo,Gloria Romero Leon,Representacion proporcional,25/01/1964,Hidalgo,Circunscripcion:5,
ghp_michoacan,gonzaloherreraperez_michoacan,Gonzalo Herrera Perez,Mayoria Relativa,07/07/1955,Michoacan,Distrito:7,
gso_mexico,gracielasanchezortiz_mexico,Graciela Sanchez Ortiz,Mayoria Relativa,18/02/1959,Mexico,Distrito:21,
