inic_edo,nom_edo,Nombre,tipo_elec,FechaNacimiento,edo,ent,Partido
gzs_oaxaca,gracielazavaletasanchez_oaxaca,Graciela Zavaleta Sanchez,Representacion proporcional,23/12/1946,Oaxaca,Circunscripcion:3,
geem_tabasco,gregorioefrainespadasmendez_tabasco,Gregorio Efrain Espadas Mendez,Mayoria Relativa,26/10/1948,Tabasco,Distrito:3,
grs_ciudad de mexico,guadaluperamossotelo_ciudad de mexico,Guadalupe Ramos Sotelo,Mayoria Relativa,01/02/1974,Ciudad de Mexico,Distrito:24,
grr_jalisco,guadaluperomoromo_jalisco,Guadalupe Romo Romo,Mayoria Relativa,22/03/1962,Jalisco,Distrito:3,
gcm_mexico,gustavocontrerasmontes_mexico,Gustavo Contreras Montes,Mayoria Relativa,11/06/1980,Mexico,Distrito:8,
hgdjjym_puebla,hectorguillermodejesusjimenezymeneses_puebla,Hector Guillermo de Jesus Jimenez y Meneses,Mayoria Relativa,24/11/1945,Puebla,Distrito:13,
hjvg_tamaulipas,hectorjoelvillegasgonzalez_tamaulipas,Hector Joel Villegas Gonzalez,Mayoria Relativa,09/05/1979,Tamaulipas,Distrito:3,
hrca_baja california,hectorrenecruzaparicio_baja california,Hector Rene Cruz Aparicio,Mayoria Relativa,27/12/1982,Baja California,Distrito:8,
hsc_ciudad de mexico,hectorserranocortes_ciudad de mexico,Hector Serrano Cortes,Representacion proporcional,22/04/1962,Ciudad de Mexico,Circunscripcion:4,
hyl_veracruz,hectoryuneslanda_veracruz,Hector Yunes Landa,Representacion proporcional,27/10/1958,Veracruz,Circunscripcion:3,
hmac_sonora,heribertomarceloaguilarcastillo_sonora,Heriberto Marcelo Aguilar Castillo,Mayoria Relativa,12/02/1975,Sonora,Distrito:4,
hsw_nuevo leon,hernansalinaswolberg_nuevo leon,Hernan Salinas Wolberg,Mayoria Relativa,01/04/1982,Nuevo Leon,Distrito:1,
hpon_durango,hildapatriciaorteganajera_durango,Hilda Patricia Ortega Najera,Mayoria Relativa,10/08/1966,Durango,Distrito:4,
hgm_sonora,hildelisagonzalezmorales_sonora,Hildelisa Gonzalez Morales,Mayoria Relativa,22/12/1956,Sonora,Distrito:7,
hmm_michoacan,hirepanmayamartinez_michoacan,Hirepan Maya Martinez,Representacion proporcional,02/12/1977,Michoacan,Circunscripcion:5,
hdo_mexico,horacioduarteolivares_mexico,Horacio Duarte Olivares,Representacion proporcional,05/11/1971,Mexico,Circunscripcion:5,
hmlnq_jalisco,hortensiamarialuisanoronaquezada_jalisco,Hortensia Maria Luisa Noroña Quezada,Representacion proporcional,19/10/1976,Jalisco,Circunscripcion:1,
hrrl_hidalgo,hugorafaelruizlustre_hidalgo,Hugo Rafael Ruiz Lustre,Representacion proporcional,22/08/1965,Hidalgo,Circunscripcion:5,
hpm_chiapas,humbertopedreromoreno_chiapas,Humberto Pedrero Moreno,Mayoria Relativa,26/05/1986,Chiapas,Distrito:2,
irm_guerrero,idaliareyesmiguel_guerrero,Idalia Reyes Miguel,Representacion proporcional,15/08/1976,Guerrero,Circunscripcion:4,
ibce_michoacan,ignaciobenjamincamposequihua_michoacan,Ignacio Benjamin Campos Equihua,Mayoria Relativa,12/05/1973,Michoacan,Distrito:9,
ivs_colima,indiravizcainosilva_colima,Indira Vizcaino Silva,Mayoria Relativa,14/01/1987,Colima,Distrito:2,
ipj_puebla,inesparrajuarez_puebla,Ines Parra Juarez,Mayoria Relativa,20/04/1978,Puebla,Distrito:4,
ism_oaxaca,iransantiagomanuel_oaxaca,Iran Santiago Manuel,Representacion proporcional,04/03/1985,Oaxaca,Circunscripcion:3,
idcbd_campeche,irasemadelcarmenbuenfildiaz_campeche,Irasema del Carmen Buenfil Diaz,Mayoria Relativa,22/08/1958,Campeche,Distrito:2,
ime_oaxaca,irineomolinaespinoza_oaxaca,Irineo Molina Espinoza,Mayoria Relativa,13/06/1976,Oaxaca,Distrito:1,
ijc_oaxaca,irmajuancarlos_oaxaca,Irma Juan Carlos,Mayoria Relativa,19/07/1977,Oaxaca,Distrito:2,
imtv_sonora,irmamariateranvillalobos_sonora,Irma Maria Teran Villalobos,Representacion proporcional,12/11/1985,Sonora,Circunscripcion:1,
imgv_nuevo leon,isabelmargaritaguerravillarreal_nuevo leon,Isabel Margarita Guerra Villareal,Representacion proporcional,22/09/1975,Nuevo Leon,Circunscripcion:2,
igc_baja california sur,isaiasgonzalezcuevas_baja california sur,Isaias Gonzalez Cuevas,Representacion proporcional,06/07/1940,Baja California Sur,Circunscripcion:1,
iahd_durango,ismaelalfredohernandezderas_durango,Ismael Alfredo Hernandez Deras,Representacion proporcional,20/02/1964,Durango,Circunscripcion:1,
itbp_jalisco,itzcoatltonatiuhbravopadilla_jalisco,Itzcoatl Tonatiuh Bravo Padilla,Representacion proporcional,07/02/1960,Jalisco,Circunscripcion:1,
iapnr_michoacan,ivanarturopereznegronruiz_michoacan,Ivan Arturo Perez Negron ,Mayoria Relativa,20/07/1974,Michoacan,Distrito:10,
iarr_mexico,ivanarturorodriguezrivera_mexico,Ivan Arturo Rodriguez Rivera,Representacion proporcional,02/05/1974,Mexico,Circunscripcion:5,
ilag_nuevo leon,ivonnelilianaalvarezgarcia_nuevo leon,Ivonne Liliana Alvarez Garcia,Representacion proporcional,25/04/1978,Nuevo Leon,Circunscripcion:2,
jdca_mexico,jacobodavidchejaalfaro_mexico,Jacobo David Cheja Alfaro,Representacion proporcional,08/10/1965,Mexico,Circunscripcion:5,
jmj_zacatecas,jacquelinamartinezjuarez_zacatecas,Jacquelina Martinez Juarez,Representacion proporcional,26/05/1981,Zacatecas,Circunscripcion:2,
jhpb_veracruz,jaimehumbertoperezbernabe_veracruz,Jaime Humberto Perez Bernabe,Mayoria Relativa,15/04/1973,Veracruz,Distrito:6,
jmmc_guanajuato,janetmelaniemurillochavez_guanajuato,Janet Melanie Murillo Chavez,Mayoria Relativa,02/08/1981,Guanajuato,Distrito:9,
jti_hidalgo,jannettellezinfante_hidalgo,Jannet Tellez Infante,Mayoria Relativa,08/01/1979,Hidalgo,Distrito:7,
jahp_ciudad de mexico,javierarielhidalgoponce_ciudad de mexico,Javier Ariel Hidalgo Ponce,Mayoria Relativa,14/05/1960,Ciudad de Mexico,Distrito:10,
jjcp_baja california,javierjuliancastanedapomposo_baja california,Javier Julian Castañeda Pomposo,Mayoria Relativa,07/10/1967,Baja California,Distrito:6,
jms_guerrero,javiermanzanosalazar_guerrero,Javier Manzano Salazar,Mayoria Relativa,05/06/1963,Guerrero,Distrito:5,
jsn_mexico,javiersalinasnarvaez_mexico,Javier Salinas Narvaez,Representacion proporcional,22/11/1965,Mexico,Circunscripcion:5,
jcvp_yucatan,jesuscarlosvidalpeniche_yucatan,Jesus Carlos Vidal Peniche,Mayoria Relativa,16/06/1976,Yucatan,Distrito:1,
jfgh_sinaloa,jesusfernandogarciahernandez_sinaloa,Jesus Fernando Garcia Hernandez,Mayoria Relativa,30/05/1958,Sinaloa,Distrito:3,
jga_veracruz,jesusguzmanaviles_veracruz,Jesus Guzman Aviles,Mayoria Relativa,25/12/1961,Veracruz,Distrito:2,
jsmm_baja california,jesussalvadorminormora_baja california,Jesus Salvador Minor Mora,Mayoria Relativa,01/06/1951,Baja California,Distrito:1,
jsan_mexico,jesussergioalcantaranunez_mexico,Jesus Sergio Alcantara Nuñez,Representacion proporcional,21/06/1965,Mexico,Circunscripcion:5,
jdlapm_quintana roo,jesusdelosangelespoolmoo_quintana roo,Jesus de los Angeles Pool Moo,Mayoria Relativa,22/12/1969,Quintana Roo,Distrito:4,
jagl_baja california,jorgealcibiadesgarcialara_baja california,Jorge Alcibiades Garcia Lara,Representacion proporcional,05/08/1969,Baja California,Circunscripcion:1,
jaav_morelos,jorgearturoarguellesvictorero_morelos,Jorge Arturo Arguelles Victorero,Mayoria Relativa,13/05/1981,Morelos,Distrito:4,
jaeg_guanajuato,jorgearturoespadasgalvan_guanajuato,Jorge Arturo Espadas Galvan,Mayoria Relativa,08/09/1975,Guanajuato,Distrito:11,
jegm_quintana roo,jorgeemiliogonzalezmartinez_quintana roo,Jorge Emilio Gonzalez Martinez,Representacion proporcional,16/04/1972,Quintana Roo,Circunscripcion:3,
jers_sonora,jorgeeugeniorussosalido_sonora,Jorge Eugenio Russo Salido,Representacion proporcional,19/12/1969,Sonora,Circunscripcion:1,
jlmn_queretaro,jorgeluismontesnieves_queretaro,Jorge Luis Montes Nieves,Mayoria Relativa,14/01/1981,Queretaro,Distrito:2,
jlpr_colima,jorgeluispreciadorodriguez_colima,Jorge Luis Preciado Rodriguez,Representacion proporcional,09/08/1972,Colima,Circunscripcion:5,
jrh_ciudad de mexico,jorgeromeroherrera_ciudad de mexico,Jorge Romero Herrera,Representacion proporcional,03/01/1979,Ciudad de Mexico,Circunscripcion:4,
japh_coahuila,joseangelperezhernandez_coahuila,Jose Angel Perez Hernandez,Mayoria Relativa,01/03/1958,Coahuila,Distrito:6,
jdcgq_campeche,josedelcarmengomezquej_campeche,Jose Del Carmen Gomez Quej,Representacion proporcional,18/12/1957,Campeche,Circunscripcion:3,
jela_yucatan,joseeliaslixaabimerhi_yucatan,Jose Elias Lixa Abimerhi,Mayoria Relativa,28/02/1987,Yucatan,Distrito:4,
jgar_michoacan,joseguadalupeaguilerarojas_michoacan,Jose Guadalupe Aguilera Rojas,Mayoria Relativa,12/12/1971,Michoacan,Distrito:11,
jgag_morelos,joseguadalupeambrociogachuz_morelos,Jose Guadalupe Ambrocio Gachuz,Mayoria Relativa,12/12/1960,Morelos,Distrito:5,
jgas_puebla,joseguillermoarechigasantamaria_puebla,Jose Guillermo Arechiga Santamaria,Mayoria Relativa,02/09/1958,Puebla,Distrito:9,
jitr_zacatecas,joseisabeltrejoreyes_zacatecas,Jose Isabel Trejo Reyes,Representacion proporcional,09/04/1959,Zacatecas,Circunscripcion:2,
jjms_sinaloa,josejaimemontessalas_sinaloa,Jose Jaime Montes Salas,Mayoria Relativa,20/02/1954,Sinaloa,Distrito:2,
jlef_chiapas,joseluiselorzaflores_chiapas,Jose Luis Elorza Flores,Mayoria Relativa,28/04/1973,Chiapas,Distrito:12,
jlgd_nuevo leon,joseluisgarciaduque_nuevo leon,Jose Luis Garcia Duque,Mayoria Relativa,08/11/1967,Nuevo Leon,Distrito:3,
jlml_mexico,joseluismontalvoluna_mexico,Jose Luis Montalvo Luna,Mayoria Relativa,29/04/1960,Mexico,Distrito:39,
jmlc_nuevo leon,josemartinlopezcisneros_nuevo leon,Jose Martin Lopez Cisneros,Mayoria Relativa,11/11/1972,Nuevo Leon,Distrito:10,
jrcp_nayarit,joseramoncamberoperez_nayarit,Jose Ramon Cambero Perez,Representacion proporcional,27/06/1971,Nayarit,Circunscripcion:1,
jrde_san luis potosi,josericardodelsolestrada_san luis potosi,Jose Ricardo Delsol Estrada,Mayoria Relativa,29/03/1964,San Luis Potosi,Distrito:4,
jrgc_san luis potosi,josericardogallardocardona_san luis potosi,Jose Ricardo Gallardo Cardona,Mayoria Relativa,18/11/1980,San Luis Potosi,Distrito:2,
jrma_baja california sur,joserigobertomaresaguilar_baja california sur,Jose Rigoberto Mares Aguilar,Representacion proporcional,17/02/1981,Baja California Sur,Circunscripcion:1,
jsrq_tamaulipas,josesalvadorrosasquintanilla_tamaulipas,Jose Salvador Rosas Quintanilla,Mayoria Relativa,22/01/1961,Tamaulipas,Distrito:1,
jdllss_tlaxcala,josedelaluzsosasalinas_tlaxcala,Jose de la Luz Sosa Salinas,Mayoria Relativa,25/05/1966,Tlaxcala,Distrito:1,
jsb_san luis potosi,josefinasalazarbaez_san luis potosi,Josefina Salazar Baez,Mayoria Relativa,29/01/1974,San Luis Potosi,Distrito:5,
jabb_mexico,juanangelbautistabravo_mexico,Juan Angel Bautista Bravo,Mayoria Relativa,25/07/1981,Mexico,Distrito:31,
jcldlr_chihuahua,juancarlosloeradelarosa_chihuahua,Juan Carlos Loera De La Rosa,Representacion proporcional,27/04/1969,Chihuahua,Circunscripcion:1,
jcmm_guanajuato,juancarlosmunozmarquez_guanajuato,Juan Carlos Munoz Marquez,Representacion proporcional,30/11/1969,Guanajuato,Circunscripcion:2,
jcrh_guanajuato,juancarlosromerohicks_guanajuato,Juan Carlos Romero Hicks,Mayoria Relativa,10/12/1955,Guanajuato,Distrito:4,
jcvs_jalisco,juancarlosvillarrealsalazar_jalisco,Juan Carlos Villarreal Salazar,Mayoria Relativa,11/08/1974,Jalisco,Distrito:7,
jefe_chiapas,juanenriquefarreraesponda_chiapas,Juan Enrique Farrera Esponda,Mayoria Relativa,21/03/1967,Chiapas,Distrito:10,
jfee_nuevo leon,juanfranciscoespinozaeguia_nuevo leon,Juan Francisco Espinoza Eguia,Mayoria Relativa,10/11/1971,Nuevo Leon,Distrito:9,
jfrs_jalisco,juanfranciscoramirezsalcido_jalisco,Juan Francisco Ramirez Salcido,Mayoria Relativa,25/03/1969,Jalisco,Distrito:14,
jirr_guanajuato,juanisraelramosruiz_guanajuato,Juan Israel Ramos Ruiz,Representacion proporcional,29/04/1973,Guanajuato,Circunscripcion:2,
jjcp_yucatan,juanjosecanulperez_yucatan,Juan Jose Canul Perez,Mayoria Relativa,08/01/1972,Yucatan,Distrito:5,
jmec_jalisco,juanmartinespinozacardenas_jalisco,Juan Martin Espinoza Cardenas,Mayoria Relativa,11/07/1972,Jalisco,Distrito:17,
jmf_veracruz,juanmartinezflores_veracruz,Juan Martinez Flores,Mayoria Relativa,03/04/1956,Veracruz,Distrito:16,
jog_veracruz,juanortizguarneros_veracruz,Juan Ortiz Guarneros,Representacion proporcional,25/09/1953,Veracruz,Circunscripcion:3,
jpsr_mexico,juanpablosanchezrodriguez_mexico,Juan Pablo Sanchez Rodriguez,Mayoria Relativa,29/04/1979,Mexico,Distrito:20,
jcl_mexico,juanacarrilloluna_mexico,Juana Carrillo Luna,Representacion proporcional,24/06/1963,Mexico,Circunscripcion:5,
jgm_morelos,juanitaguerramena_morelos,Juanita Guerra Mena,Mayoria Relativa,19/03/1983,Morelos,Distrito:3,
jgz_michoacan,julietagarciazepeda_michoacan,Julieta Garcia Zepeda,Representacion proporcional,20/03/1965,Michoacan,Circunscripcion:5,
jkvv_puebla,julietakristalvencesvalencia_puebla,Julieta Kristal Vences Valencia,Mayoria Relativa,24/10/1986,Puebla,Distrito:8,
jmr_ciudad de mexico,julietamaciasrabago_ciudad de mexico,Julieta Macias Rabago,Representacion proporcional,05/10/1971,Ciudad de Mexico,Circunscripcion:4,
jca_veracruz,juliocarranzaareas_veracruz,Julio Carranza Areas,Representacion proporcional,14/03/1965,Veracruz,Circunscripcion:3,
jcam_hidalgo,juliocesarangelesmendoza_hidalgo,Julio Cesar Angeles Mendoza,Mayoria Relativa,24/10/1971,Hidalgo,Distrito:5,
jear_guanajuato,justinoeugenioarriagarojas_guanajuato,Justino Eugenio Arriaga Rojas,Mayoria Relativa,20/09/1979,Guanajuato,Distrito:8,
kmgm_guanajuato,karenmichelgonzalezmarquez_guanajuato,Karen Michel Gonzalez Marquez,Mayoria Relativa,21/01/1988,Guanajuato,Distrito:7,
kyab_mexico,karlayuritzialmazanburgos_mexico,Karla Yuritzi Almazan Burgos,Mayoria Relativa,27/08/1974,Mexico,Distrito:38,
kacl_jalisco,katiaalejandracastillolozano_jalisco,Katia Alejandra Castillo Lozano,Representacion proporcional,20/10/1982,Jalisco,Circunscripcion:1,
kake_jalisco,kehilaabigailkuescalante_jalisco,Kehila Abigail Ku Escalante,Mayoria Relativa,02/09/1985,Jalisco,Distrito:11,
larh_mexico,lauraangelicarojashernandez_mexico,Laura Angelica Rojas Hernandez,Representacion proporcional,26/12/1975,Mexico,Circunscripcion:5,
lbf_mexico,laurabarrerafortoul_mexico,Laura Barrera Fortoul,Representacion proporcional,10/05/1976,Mexico,Circunscripcion:5,
ledjgg_nuevo leon,lauraerikadejesusgarzagutierrez_nuevo leon,Laura Erika de Jesus Garza Gutierrez,Mayoria Relativa,19/08/1977,Nuevo Leon,Distrito:7,
lips_jalisco,lauraimeldaperezsegura_jalisco,Laura Imelda Perez Segura,Mayoria Relativa,30/05/1980,Jalisco,Distrito:16,
lmg_ciudad de mexico,lauramartinezgonzalez_ciudad de mexico,Laura Martinez Gonzalez,Representacion proporcional,15/01/1970,Ciudad de Mexico,Circunscripcion:4,
lpam_tabasco,laurapatriciaavalosmagana_tabasco,Laura Patricia Avalos Magana,Mayoria Relativa,21/05/1974,Tabasco,Distrito:5,
lncc_san luis potosi,leninnelsoncamposcordova_san luis potosi,Lenin Nelson Campos Cordova,Representacion proporcional,08/08/1961,San Luis Potosi,Circunscripcion:2,
laam_chiapas,leticiaarlettaguilarmolina_chiapas,Leticia Arlett Aguilar Molina,Mayoria Relativa,01/03/1958,Chiapas,Distrito:9,
lda_ciudad de mexico,leticiadiazaguilar_ciudad de mexico,Leticia Diaz Aguilar,Representacion proporcional,20/03/1964,Ciudad de Mexico,Circunscripcion:4,
lmgo_mexico,leticiamarianagomezordaz_mexico,Leticia Mariana Gomez Ordaz,Representacion proporcional,06/03/1983,Mexico,Circunscripcion:5,
lga_hidalgo,lidiagarciaanaya_hidalgo,Lidia Garcia Anaya,Mayoria Relativa,31/10/1957,Hidalgo,Distrito:6,
lnvh_san luis potosi,lidianallelyvargashernandez_san luis potosi,Lidia Nallely Vargas Hernandez,Representacion proporcional,03/08/1992,San Luis Potosi,Circunscripcion:2,
lvz_guanajuato,liliavillafuertezavala_guanajuato,Lilia Villafuerte Zavala,Mayoria Relativa,19/04/1963,Guanajuato,Distrito:10,
lml_baja california,lizbethmatalozano_baja california,Lizbeth Mata Lozano,Representacion proporcional,10/01/1984,Baja California,Circunscripcion:1,
lagm_veracruz,lizethamayraniguerramendez_veracruz,Lizeth Amayrani Guerra Mendez,Representacion proporcional,18/01/1994,Veracruz,Circunscripcion:3,
lsg_puebla,lizethsanchezgarcia_puebla,Lizeth Sanchez Garcia,Mayoria Relativa,03/11/1976,Puebla,Distrito:5,
lcc_tlaxcala,lorenacuellarcisneros_tlaxcala,Lorena Cuellar Cisneros,Mayoria Relativa,20/02/1962,Tlaxcala,Distrito:3,
ldsja_jalisco,lorenadelsocorrojimenezandrade_jalisco,Lorena del Socorro Jimenez Andrade,Mayoria Relativa,21/10/1959,Jalisco,Distrito:5,
livs_sonora,loreniaivethvallessampedro_sonora,Lorenia Iveth Valles Sampedro,Mayoria Relativa,18/12/1976,Sonora,Distrito:3,
lccg_jalisco,lourdesceleniacontrerasgonzalez_jalisco,Lourdes Celenia Contreras Gonzalez,Mayoria Relativa,29/12/1984,Jalisco,Distrito:13,
lesm_sinaloa,lourdeserikasanchezmartinez_sinaloa,Lourdes Erika Sanchez Martinez,Representacion proporcional,29/09/1980,Sinaloa,Circunscripcion:1,
lfo_ciudad de mexico,luciafloresolivo_ciudad de mexico,Lucia Flores Olivo,Representacion proporcional,09/04/1965,Ciudad de Mexico,Circunscripcion:4,
lss_sinaloa,lucindasandovalsoberanes_sinaloa,Lucinda Sandoval Soberanes,Representacion proporcional,18/02/1980,Sinaloa,Circunscripcion:1,
ldjj_ciudad de mexico,luciodejesusjimenez_ciudad de mexico,Lucio De Jesus Jimenez,Representacion proporcional,15/12/1970,Ciudad de Mexico,Circunscripcion:4,
lepc_ciudad de mexico,lucioernestopalacioscordero_ciudad de mexico,Lucio Ernesto Palacios Cordero,Representacion proporcional,07/07/1977,Ciudad de Mexico,Circunscripcion:4,
lama_ciudad de mexico,luisalbertomendozaacevedo_ciudad de mexico,Luis Alberto Mendoza Acevedo,Mayoria Relativa,12/01/1980,Ciudad de Mexico,Distrito:15,
lelcm_puebla,luiseleusisleonidascordovamoran_puebla,Luis Eleusis Leonidas Cordova Moran,Representacion proporcional,26/09/1949,Puebla,Circunscripcion:4,
lemv_mexico,luisenriquemartinezventura_mexico,Luis Enrique Martinez Ventura,Mayoria Relativa,19/08/1963,Mexico,Distrito:32,
lemn_mexico,luisenriquemirandanava_mexico,Luis Enrique Miranda Nava,Representacion proporcional,04/02/1965,Mexico,Circunscripcion:5,
lfsf_coahuila,luisfernandosalazarfernandez_coahuila,Luis Fernando Salazar Fernandez,Mayoria Relativa,18/11/1977,Coahuila,Distrito:5,
ljas_quintana roo,luisjavieralegresalazar_quintana roo,Luis Javier Alegre Salazar,Representacion proporcional,04/02/1964,Quintana Roo,Circunscripcion:3,
lerm_ciudad de mexico,luzestefaniarosasmartinez_ciudad de mexico,Luz Estefania Rosas Martinez,Representacion proporcional,22/08/1995,Ciudad de Mexico,Circunscripcion:4,
lebc_zacatecas,lyndianaelizabethbugarincortes_zacatecas,Lyndiana Elizabeth Bugarin Cortes,Mayoria Relativa,13/12/1988,Zacatecas,Distrito:2,
meler_guanajuato,ma.eugenialeticiaespinosarivas_guanajuato,Ma. Eugenia Leticia Espinosa Rivas,Mayoria Relativa,28/11/1961,Guanajuato,Distrito:14,
mgap_san luis potosi,ma.guadalupealmaguerpardo_san luis potosi,Ma. Guadalupe Almaguer Pardo,Mayoria Relativa,26/08/1961,San Luis Potosi,Distrito:6,
msrm_san luis potosi,ma.sararochamedina_san luis potosi,Ma. Sara Rocha Medina,Mayoria Relativa,09/10/1967,San Luis Potosi,Distrito:1,
mdjgg_zacatecas,ma.dejesusgarciaguardado_zacatecas,Ma. de Jesus Garcia Guardado,Representacion proporcional,03/04/1959,Zacatecas,Circunscripcion:2,
mdlaad_guanajuato,ma.delosangelesayaladiaz_guanajuato,Ma. de los Angeles Ayala Diaz,Mayoria Relativa,02/08/1963,Guanajuato,Distrito:3,
mdccl_guerrero,ma.delcarmencabreralagunas_guerrero,Ma. del Carmen Cabrera Lagunas,Mayoria Relativa,30/12/1971,Guerrero,Distrito:3,
mdpom_guanajuato,ma.delpilarortegamartinez_guanajuato,Ma. del Pilar Ortega Martinez,Mayoria Relativa,29/06/1968,Guanajuato,Distrito:6,
mba_sonora,madeleinebonnafouxalcaraz_sonora,Madeleine Bonnafoux Alcaraz,Representacion proporcional,31/01/1979,Sonora,Circunscripcion:1,
mmggm_puebla,maiellamarthagabrielagomezmaldonado_puebla,Maiella Martha Gabriela Gomez Maldonado,Mayoria Relativa,26/09/1974,Puebla,Distrito:2,
mgv_veracruz,manuelgomezventura_veracruz,Manuel Gomez Ventura,Representacion proporcional,10/11/1966,Veracruz,Circunscripcion:3,
mhm_guerrero,manuelhuertamartinez_guerrero,Manuel Huerta Martinez,Representacion proporcional,02/12/1963,Guerrero,Circunscripcion:4,
mlh_veracruz,manuellimonhernandez_veracruz,Manuel Limon Hernandez,Representacion proporcional,10/01/1946,Veracruz,Circunscripcion:3,
mlc_sonora,manuellopezcastillo_sonora,Manuel Lopez Castillo,Representacion proporcional,12/02/1948,Sonora,Circunscripcion:1,
mrg_tabasco,manuelrodriguezgonzalez_tabasco,Manuel Rodriguez Gonzalez,Mayoria Relativa,26/10/1966,Tabasco,Distrito:4,
mdjba_sonora,manueldejesusbaldenebroarredondo_sonora,Manuel de Jesus Baldenebro Arredondo,Mayoria Relativa,13/05/1962,Sonora,Distrito:1,
mdcon_chiapas,manueladelcarmenobradornarvaez_chiapas,Manuela del Carmen Obrador Narvaez,Mayoria Relativa,12/06/1971,Chiapas,Distrito:1,
mgvg_mexico,marcelaguillerminavelascogonzalez_mexico,Marcela Guillermina Velasco Gonzalez,Representacion proporcional,25/06/1952,Mexico,Circunscripcion:5,
mrh_san luis potosi,marcelinoriverahernandez_san luis potosi,Marcelino Rivera Hernandez,Mayoria Relativa,26/04/1984,San Luis Potosi,Distrito:7,
maac_morelos,marcoantonioadamecastillo_morelos,Marco Antonio Adame Castillo,Representacion proporcional,06/12/1960,Morelos,Circunscripcion:4,
maaz_chiapas,marcoantonioandradezavala_chiapas,Marco Antonio Andrade Zavala,Representacion proporcional,17/11/1972,Chiapas,Circunscripcion:3,
macm_sonora,marcoantoniocarbajalmiranda_sonora,Marco Antonio Carbajal Miranda,Representacion proporcional,26/09/1959,Sonora,Circunscripcion:1,
maga_sinaloa,marcoantoniogomezalcantar_sinaloa,Marco Antonio Gomez Alcantar,Representacion proporcional,18/04/1972,Sinaloa,Circunscripcion:1,
magr_mexico,marcoantoniogonzalezreyes_mexico,Marco Antonio Gonzalez Reyes,Representacion proporcional,07/11/1980,Mexico,Circunscripcion:5,
mamp_veracruz,marcoantoniomedinaperez_veracruz,Marco Antonio Medina Perez,Representacion proporcional,17/12/1958,Veracruz,Circunscripcion:3,
marc_mexico,marcoantonioreyescolin_mexico,Marco Antonio Reyes Colin,Mayoria Relativa,18/05/1981,Mexico,Distrito:40,
mav_queretaro,marcosaguilarvega_queretaro,Marcos Aguilar Vega,Representacion proporcional,05/07/1972,Queretaro,Circunscripcion:2,
mfs_nayarit,margaritafloressanchez_nayarit,Margarita Flores Sanchez,Representacion proporcional,10/12/1961,Nayarit,Circunscripcion:1,
mgg_oaxaca,margaritagarciagarcia_oaxaca,Margarita Garcia Garcia,Mayoria Relativa,26/01/1966,Oaxaca,Distrito:3,
mamc_queretaro,mariaalemanmunozcastillo_queretaro,Maria Aleman Muñoz Castillo,Representacion proporcional,14/04/1990,Queretaro,Circunscripcion:2,
