N°,Nombre,Grupo Parlamentario,Entidad federativa,Distrito / Circunscripción,Tipo de elección,Releccion 
225,Juanita Guerra Mena,MORENA,Morelos,Distrito 3,Mayoría relativa,SI
226,Juan Jose Canul Perez,PRI,Yucatán,Distrito 5,Mayoría relativa,SI
227,Juan Martin Espinoza Cardenas,MC,Jalisco,Distrito 17,Mayoría relativa,SI
228,Juan Martinez Flores,MORENA,Veracruz,Distrito 16,Mayoría relativa,SI
229,Juan Ortiz Guarneros,PRI,Veracruz,3ª Circunscripción,Representación proporcional,SI
230,Juan Pablo Sanchez Rodriguez,MORENA,México,Distrito 20,Mayoría relativa,SI
231,Julieta Garcia Zepeda,MORENA,Michoacán,5ª Circunscripción,Representación proporcional,SI
232,Julieta Kristal Vences Valencia,MORENA,Puebla,Distrito 8,Mayoría relativa,SI
233,Julio Carranza Areas,MORENA,Veracruz,3ª Circunscripción,Representación proporcional,SI
234,Julio Cesar Angeles Mendoza,MORENA,Hidalgo,Distrito 5,Mayoría relativa,SI
235,Justino Eugenio Arriaga Rojas,PAN,Guanajuato,Distrito 8,Mayoría relativa,SI
237,Karen Michel Gonzalez Marquez,PAN,Guanajuato,Distrito 7,Mayoría relativa,SI
238,Karla Yuritzi Almazan Burgos,MORENA,México,Distrito 38,Mayoría relativa,SI
239,Katia Alejandra Castillo Lozano,MORENA,Jalisco,1ª Circunscripción,Representación proporcional,SI
240,Kehila Abigail Ku Escalante,MC,Jalisco,Distrito 11,Mayoría relativa,SI
241,Laura Angelica Rojas Hernandez,PAN,México,Distrito 5,Mayoría relativa,SI
242,Laura Barrera Fortoul,PRI,México,5ª Circunscripción,Representación proporcional,SI
243,Laura Imelda Perez Segura,MORENA,Jalisco,Distrito 16,Mayoría relativa,SI
244,Laura Martinez Gonzalez,MORENA,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
246,Lenin Nelson Campos Cordova,PRI,San Luis Potosí,2ª Circunscripción,Representación proporcional,SI
247,Leticia Arlett Aguilar Molina,MORENA,Chiapas,Distrito 9,Mayoría relativa,SI
248,Leticia Diaz Aguilar,MORENA,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
249,Leticia Mariana Gomez Ordaz,PVEM,México,5ª Circunscripción,Representación proporcional,SI
250,Lidia Garcia Anaya,MORENA,Hidalgo,Distrito 6,Mayoría relativa,SI
251,Lidia Nallely Vargas Hernandez,MORENA,San Luis Potosí,2ª Circunscripción,Representación proporcional,SI
252,Lilia Villafuerte Zavala,PVEM,Guanajuato,Distrito 10,Mayoría relativa,SI
254,Lizbeth Mata Lozano,PAN,Baja California,Distrito 1,Mayoría relativa,SI
255,Lizeth Amayrani Guerra Mendez,MORENA,Veracruz,3ª Circunscripción,Representación proporcional,SI
256,Lorena del Socorro Jimenez Andrade,MORENA,Jalisco,Distrito 5,Mayoría relativa,SI
258,Lorenia Iveth Valles Sampedro,MORENA,Sonora,Distrito 3,Mayoría relativa,SI
259,Lourdes Celenia Contreras Gonzalez,MC,Jalisco,Distrito 13,Mayoría relativa,SI
260,Lourdes Erika Sanchez Martinez,PRI,Sinaloa,1ª Circunscripción,Representación proporcional,SI
261,Lucia Flores Olivo,MORENA,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
262,Lucinda Sandoval Soberanes,MORENA,Sinaloa,1ª Circunscripción,Representación proporcional,SI
263,Lucio De Jesus Jimenez,MORENA,Ciudad de México,5ª Circunscripción,Representación proporcional,SI
264,Lucio Ernesto Palacios Cordero,MORENA,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
265,Luis Alberto Mendoza Acevedo,PAN,Ciudad de México,Distrito 15,Mayoría relativa,SI
266,Luis Eleusis Leonidas Cordova Moran,PRI,Puebla,4ª Circunscripción,Representación proporcional,SI
267,Luis Enrique Martinez Ventura,PT,México,Distrito 32,Mayoría relativa,SI
268,Luis Enrique Miranda Nava,PRI,México,5ª Circunscripción,Representación proporcional,SI
269,Luis Javier Alegre Salazar,MORENA,Quintana Roo,3ª Circunscripción,Representación proporcional,SI
270,Luz Estefania Rosas Martinez,MORENA,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
272,Lyndiana Elizabeth Bugarin Cortes,PVEM,Zacatecas,Distrito 2,Mayoría relativa,SI
273,Ma. de Jesus Garcia Guardado,MORENA,Zacatecas,2a Circunscripción,Representación proporcional,SI
274,Ma. del Carmen Cabrera Lagunas,PES,Guerrero,Distrito 3,Mayoría relativa,SI
275,Madeleine Bonnafoux Alcaraz,PAN,Sonora,1ª Circunscripción,Representación proporcional,SI
276,Ma. de los Angeles Ayala Diaz,PAN,Guanajuato,Distrito 3,Mayoría relativa,SI
277,Ma. Eugenia Leticia Espinosa Rivas,PAN,Guanajuato,Distrito 14,Mayoría relativa,SI
278,Ma. Guadalupe Almaguer Pardo,PRD,San Luis Potosí,Distrito 6,Mayoría relativa,SI
279,Maiella Martha Gabriela Gomez Maldonado,MC,Puebla,Distrito 2,Mayoría relativa,SI
280,Manuela del Carmen Obrador Narvaez,MORENA,Chiapas,Distrito 1,Mayoría relativa,SI
281,Manuel de Jesus Baldenebro Arredondo,PES,Sonora,Distrito 1,Mayoría relativa,SI
282,Manuel Gomez Ventura,MORENA,Veracruz,3ª Circunscripción,Representación proporcional,SI
283,Manuel Huerta Martinez,PT,Guerrero,4ª Circunscripción,Representación proporcional,SI
284,Manuel Lopez Castillo,MORENA,Sonora,1ª Circunscripción,Representación proporcional,SI
285,Manuel Rodriguez Gonzalez,MORENA,Tabasco,Distrito 4,Mayoría relativa,SI
286,Marcela Guillermina Velasco Gonzalez,PRI,México,5ª Circunscripción,Representación proporcional,SI
287,Marcelino Rivera Hernandez,PAN,San Luis Potosí,Distrito 7,Mayoría relativa,SI
288,Marco Antonio Andrade Zavala,MORENA,Chiapas,3ª Circunscripción,Representación proporcional,SI
289,Marco Antonio Carbajal Miranda,MORENA,Sonora,1ª Circunscripción,Representación proporcional,SI
290,Marco Antonio Gomez Alcantar,PVEM,Sinaloa,1ª Circunscripción,Representación proporcional,SI
291,Marco Antonio Gonzalez Reyes,MORENA,México,5ª Circunscripción,Representación proporcional,SI
292,Marco Antonio Medina Perez,MORENA,Veracruz,3ª Circunscripción,Representación proporcional,SI
293,Marco Antonio Reyes Colin,MORENA,México,Distrito 40,Mayoría relativa,SI
294,Marcos Aguilar Vega,PAN,Querétaro,2ª Circunscripción,Representación proporcional,SI
295,Margarita Flores Sanchez,PRI,Nayarit,1ª Circunscripción,Representación proporcional,SI
296,Margarita Garcia Garcia,PT,Oaxaca,Distrito 3,Mayoría relativa,SI
297,Maria Aleman Muñoz Castillo,PRI,Querétaro,2ª Circunscripción,Representación proporcional,SI
298,Maria Beatriz Lopez Chavez,MORENA,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
299,Maria Bertha Espinoza Segura,MORENA,Veracruz,Distrito 3,Mayoría relativa,SI
300,Maria Chavez Perez,MORENA,Michoacán,5ª Circunscripción,Representación proporcional,SI
301,Maria Rosete Sanchez,PT,Ciudad de México,Distrito 8,Mayoría relativa,SI
302,Maria del Carmen Bautista Pelaez,MORENA,Oaxaca,Distrito 9,Mayoría relativa,SI
303,Maria de los Angeles Gutierrez Valdez,PAN,Chihuahua,Distrito 9,Mayoría relativa,SI
304,Maria de los Angeles Huerta del Rio,MORENA,México,Distrito 24,Mayoría relativa,SI
306,Maria del Rosario Merlin Garcia,MORENA,Guerrero,Distrito 9,Mayoría relativa,SI
307,Maria Elizabeth Diaz Garcia,MORENA,México,Distrito 13,Mayoría relativa,SI
308,Maria Ester Alonzo Morales,PRI,Yucatán,Distrito 2,Mayoría relativa,SI
309,Maria Esther Mejia Cruz,MORENA,Chihuahua,Distrito 1,Mayoría relativa,SI
310,Maria Eugenia Hernandez Perez,MORENA,México,Distrito 11,Mayoría relativa,SI
311,Maria Geraldine Ponce Mendez,MORENA,Nayarit,Distrito 2,Mayoría relativa,SI
313,Maria Guadalupe Edith Castañeda Ortiz,MORENA,México,5ª Circunscripción,Representación proporcional,SI
314,Maria Guadalupe Roman Avila,MORENA,México,Distrito 17,Mayoría relativa,SI
315,Maria Guillermina Alvarado Moreno,MORENA,Nuevo León,Distrito 2,Mayoría relativa,SI
316,Maria Isabel Alfaro Morales,MORENA,Hidalgo,Distrito 4,Mayoría relativa,SI
317,Maria Libier Gonzalez Anaya,MC,Jalisco,1ª Circunscripción,Representación proporcional,SI
318,Maria Liduvina Sandoval Mendoza,PAN,Colima,5ª Circunscripción,Representación proporcional,SI
319,Maria Lucero Saldaña Perez,PRI,Puebla,4ª Circunscripción,Representación proporcional,SI
320,Maria Marivel Solis Barrera,MORENA,Hidalgo,5ª Circunscripción,Representación proporcional,SI
321,Mariana Dunyaska Garcia Rojas,PAN,Veracruz,Distrito 12,Mayoría relativa,SI
322,Mariana Rodriguez Mier y Teran,PRI,Tamaulipas,2ª Circunscripción,Representación proporcional,SI
323,Maria Roselia Jimenez Perez,PT,Chiapas,Distrito 8,Mayoría relativa,SI
324,Maria Teresa Lopez Perez,MORENA,Jalisco,1ª Circunscripción,Representación proporcional,SI
325,Maria Teresa Maru Mejia,PT,México,Distrito 3,Mayoría relativa,SI
326,Maria Teresa Rebeca Rosa Mora Rios,MORENA,México,22,Mayoría relativa,SI
327,Maria Wendy Briceño Zuloaga,MORENA,Sonora,Distrito 5,Mayoría relativa,SI
328,Maribel Aguilera Chairez,MORENA,Durango,Distrito 3,Mayoría relativa,SI
329,Maribel Martinez Ruiz,PT,Oaxaca,3ª Circunscripción,Representación proporcional,SI
330,Maricruz Roblero Gordillo,PT,Chiapas,Distrito 13,Mayoría relativa,SI
331,Mario Alberto Ramos Tamez,PAN,Tamaulipas,Distrito 5,Mayoría relativa,SI
332,Mario Alberto Rodriguez Carrillo,MC,Jalisco,Distrito 4,Mayoría relativa,SI
333,Mario Ismael Moreno Gil,MORENA,Baja California,Distrito 5,Mayoría relativa,SI
334,Mario Mata Carrasco,PAN,Chihuahua,Distrito 5,Mayoría relativa,SI
335,Martha Angelica Zamudio Macias,MC,Jalisco,1ª Circunscripción,Representación proporcional,SI
336,Martha Elisa Gonzalez Estrada,PAN,Aguascalientes,Distrito 3,Mayoría relativa,SI
337,Martha Estela Romo Cuellar,PAN,Jalisco,Distrito 2,Mayoría relativa,SI
340,Martha Olivia Garcia Vidaña,MORENA,Durango,Distrito 1,Mayoría relativa,SI
341,Martha Robles Ortiz,MORENA,México,Distrito 29,Mayoría relativa,SI
342,Martina Cazarez Yañez,MORENA,San Luis Potosí,2ª Circunscripción,Representación proporcional,SI
343,Mary Carmen Bernal Martinez,PT,Michoacán,Distrito 3,Mayoría relativa,SI
344,Ma. Sara Rocha Medina,PRI,San Luis Potosí,Distrito 1,Mayoría relativa,SI
345,Mauricio Alonso Toledo Gutierrez,PT,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
346,Maximino Alejandro Candelaria,MORENA,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
347,Melba Nelia Farias Zambrano,MORENA,Coahuila,Distrito 3,Mayoría relativa,SI
348,Merary Villegas Sanchez,MORENA,Sinaloa,Distrito 7,Mayoría relativa,SI
349,Miguel Alonso Riggs Baeza,PAN,Chihuahua,Distrito 6,Mayoría relativa,SI
350,Miguel Angel Chico Herrera,MORENA,Guanajuato,2ª Circunscripción,Representación proporcional,SI
351,Miguel Angel Jauregui Montes de Oca,MORENA,Ciudad de México,Distrito 3,Mayoría relativa,SI
352,Miguel Angel Marquez Gonzalez,MORENA,Jalisco,1ª Circunscripción,Representación proporcional,SI
353,Miguel Pavel Jarero Velazquez,MORENA,Nayarit,Distrito 1,Mayoría relativa,SI
354,Miguel Prado de los Santos,MORENA,Chiapas,Distrito 7,Mayoría relativa,SI
355,Mildred Concepcion Avila Vera,MORENA,Quintana Roo,Distrito 3,Mayoría relativa,SI
356,Mirna Zabeida Maldonado Tapia,MORENA,Zacatecas,Distrito 1,Mayoría relativa,SI
357,Miroslava Sanchez Galvan,MORENA,Coahuila,2ª Circunscripción,Representación proporcional,SI
358,Mirtha Iliana Villalvazo Amaya,MORENA,Nayarit,Distrito 3,Mayoría relativa,SI
359,Moises Ignacio Mier Velazco,MORENA,Puebla,4ª Circunscripción,Representación proporcional,SI
360,Monica Bautista Rodriguez,PRD,México,5ª Circunscripción,Representación proporcional,SI
361,Nancy Claudia Resendiz Hernandez,PES,México,Distrito 41,Mayoría relativa,SI
362,Nancy Yadira Santiago Marcos,MORENA,Sinaloa,Distrito 5,Mayoría relativa,SI
363,Nayeli Arlen Fernandez Cruz,MORENA,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
364,Nayeli Salvatori Bojalil,PES,Puebla,Distrito 10,Mayoría relativa,SI
365,Nelly Carrasco Godinez,MORENA,México,Distrito 4,Mayoría relativa,SI
366,Nelly Maceda Carrera,PT,Puebla,Distrito14,Mayoría relativa,SI
367,Nohemi Aleman Hernandez,MORENA,Tamaulipas,2ª Circunscripción,Representación proporcional,SI
368,Norma Guel Saldivar,PRI,Aguascalientes,2ª Circunscripción,Representación proporcional,SI
369,Olegaria Carrazco Macias,MORENA,Sinaloa,Distrito 6,Mayoría relativa,SI
370,Olga Juliana Elizondo Guerra,PT,Tamaulipas,Distrito 2,Mayoría relativa,SI
371,Olga Patricia Sosa Ruiz,PES,Tamaulipas,Distrito 8,Mayoría relativa,SI
372,Oscar Bautista Villegas,PRI,San Luis Potosí,Distrito 3,Mayoría relativa,SI
373,Oscar Daniel Martinez Terrazas,PAN,Morelos,4ª Circunscripción,Representación proporcional,SI
375,Oscar Gonzalez Yañez,PT,México,Distrito 27,Mayoría relativa,SI
377,Oscar Rafael Novella Macias,MORENA,Zacatecas,2ª Circunscripción,Representación proporcional,SI
378,Pablo Gomez Alvarez,MORENA,Ciudad de México,Distrito 23,Mayoría relativa,SI
379,Pablo Guillermo Angulo Briceño,PRI,Campeche,3ª Circunscripción,Representación proporcional,SI
380,Paola Tenorio Adame,MORENA,Veracruz,Distrito 19,Mayoría relativa,SI
381,Patricia del Carmen De la Cruz Delucio,MORENA,Chiapas,3ª Circunscripción,Representación proporcional,SI
382,Patricia Terrazas Baca,PAN,Chihuahua,1ª Circunscripción,Representación proporcional,SI
384,Pedro Daniel Abasolo Sanchez,PT,México,5ª Circunscripción,Representación proporcional,SI
385,Pedro Pablo Treviño Villarreal,PRI,Nuevo León,2ª Circunscripción,Representación proporcional,SI
387,Porfirio Muñoz Ledo,MORENA,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
388,Rafael Hernandez Villalpando,MORENA,Veracruz,Distrito 10,Mayoría relativa,SI
390,Raul Ernesto Sanchez Barrales Zavalza,PT,México,Distrito 15,Mayoría relativa,SI
391,Reginaldo Sandoval Flores,PT,Michoacán,5ª Circunscripción,Representación proporcional,SI
392,Rene Juarez Cisneros,PRI,Guerrero,4ª Circunscripción,Representación proporcional,SI
393,Reyna Celeste Ascencio Ortega,MORENA,Michoacán,5ª Circunscripción,Representación proporcional,SI
394,Ricardo Aguilar Castillo,PRI,México,Distrito 1,Mayoría relativa,SI
395,Ricardo De la Peña Marshall,PES,Tabasco,Distrito 6,Mayoría relativa,SI
396,Ricardo Francisco Exsome Zapata,MORENA,Veracruz,Distrito 4,Mayoría relativa,SI
397,Ricardo Garcia Escalante,PAN,Veracruz,Distrito 1,Mayoría relativa,SI
398,Ricardo Villarreal Garcia,PAN,Guanajuato,Distrito 2,Mayoría relativa,SI
399,Roberto Angel Dominguez Rodriguez,MORENA,México,Distrito 28,Mayoría relativa,SI
400,Roberto Antonio Rubio Montejo,PVEM,Chiapas,Distrito 11,Mayoría relativa,SI
401,Rocio Barrera Badillo,MORENA,Ciudad de México,Distrito 11,Mayoría relativa,SI
402,Rocio del Pilar Villarauz Martinez,MORENA,Ciudad de México,4ª Circunscripción,Representación proporcional,SI
403,Roque Luis Rabelo Velasco,MORENA,Chiapas,Distrito 4,Mayoría relativa,SI
404,Rosalba Valencia Cruz,MORENA,Veracruz,3ª Circunscripción,Representación proporcional,SI
405,Rosalinda Dominguez Flores,MORENA,Oaxaca,Distrito 7,Mayoría relativa,SI
407,Ruben Ignacio Moreira Valdez,PRI,Coahuila,2ª Circunscripción,Representación proporcional,SI
408,Ruben Teran Aguila,MORENA,Tlaxcala,Distrito 2,Mayoría relativa,SI
409,Ruth Salinas Reyes,MC,México,5ª Circunscripción,Representación proporcional,SI
410,Samuel Calderon Medina,PES,Morelos,4 ª Circunscripción,Representación proporcional,SI
411,Samuel Herrera Chavez,MORENA,Zacatecas,Distrito 4,Mayoría relativa,SI
412,Sandra Paola Gonzalez Castañeda,MORENA,Nuevo León,Distrito 12,Mayoría relativa,SI
413,Sandra Simey Olvera Bautista,MORENA,Hidalgo,Distrito 3,Mayoría relativa,SI
414,Santiago Gonzalez Soto,PT,Nuevo León,Distrito 5,Mayoría relativa,SI
415,Sarai Nuñez Ceron,PAN,Guanajuato,Distrito 14,Mayoría relativa,SI
417,Sergio Mayer Breton,MORENA,Ciudad de México,Distrito 6,Mayoría relativa,SI
418,Sergio Perez Hernandez,MORENA,México,5ª Circunscripción,Representación proporcional,SI
419,Silvano Garay Ulloa,PT,Tlaxcala,4ª Circunscripción,Representación proporcional,SI
420,Silvia Guadalupe Garza Galvan,PAN,Coahuila,2a. Circunscripción,Representación proporcional,SI
421,Socorro Bahena Jimenez,MORENA,México,5a Circunscripción,Representación proporcional,SI
422,Socorro Irma Andazola Gomez,MORENA,Baja California,Distrito 4,Mayoría relativa,SI
423,Sonia Rocha Acosta,PAN,Querétaro,Distrito 1,Mayoría relativa,SI
424,Soraya Perez Munguia,PRI,Tabasco,3ª Circunscripción,Representación proporcional,SI
425,Susana Beatriz Cuaxiloa Serrano,MORENA,Puebla,4a Circunscripción,Representación proporcional,SI
426,Susana Cano Gonzalez,MORENA,México,5a Circunscripción,Representación proporcional,SI
427,Sylvia Violeta Garfias Cedillo,PAN,Aguascalientes,2a Circunscripción,Representación proporcional,SI
428,Teofilo Manuel Garcia Corpus,MORENA,Oaxaca,3ª Circunscripción,Representación proporcional,SI
429,Teresita de Jesus Vargas Meraz,MORENA,Chihuahua,Distrito 2,Mayoría relativa,SI
430,Ulises Garcia Soto,MORENA,Chihuahua,Distrito 1,Mayoría relativa,SI
431,Ulises Murguia Soto,MORENA,México,Distrito 19,Mayoría relativa,SI
432,Valentin Reyes Lopez,MORENA,Veracruz,Distrito 17,Mayoría relativa,SI
433,Veronica Beatriz Juarez Piña,PRD,Jalisco,1a Crcunscricpción,Representación proporcional,SI
434,Veronica Maria Sobrado Rodriguez,PAN,Puebla,4ª Circunscripción,Representación proporcional,SI
435,Veronica Ramos Cruz,MORENA,Jalisco,1ª Circunscripción,Representación proporcional,SI
436,Vicente Alberto Onofre Vazquez,MORENA,México,Distrito 33,Mayoría relativa,SI
437,Vicente Javier Verastegui Ostos,PAN,Tamaulipas,Distrito 6,Mayoría relativa,SI
438,Victor Adolfo Mojica Wences,MORENA,Guerrero,Distrito 1,Mayoría relativa,SI
439,Victor Blas Lopez,MORENA,Oaxaca,3ª Circunscripción,Representación proporcional,SI
440,Victor Gabriel Varela Lopez,MORENA,Ciudad de México,Distrito 22,Mayoría relativa,SI
441,Victor Manuel Perez Diaz,PAN,Nuevo León,2ª Circunscripción,Representación proporcional,SI
442,Virginia Merino Garcia,MORENA,Oaxaca,3ª Circunscripción,Representación proporcional,SI
443,Xavier Azuara Zuñiga,PAN,San Luis Potosí,2ª Circunscripción,Representación proporcional,SI
444,Ximena Puente De La Mora,PRI,Colima,5ª Circunscripción,Representación proporcional,SI
445,Xochitl Nashielly Zagal Ramirez,MORENA,México,Distrito 7,Mayoría relativa,SI
446,Yolanda Guerrero Barrera,MORENA,Michoacán,Distrito 5,Mayoría relativa,SI
447,Zaira Ochoa Valdivia,MORENA,Veracruz,3ª Circunscripción,Representación proporcional,SI
